po_line_key,po_number,order_date_key,expected_date_key,received_date_key,product_key,supplier_key,dest_location_key,ordered_qty,received_qty,unit_cost,po_line_amount,lead_time_days,is_late_flag,is_complete_flag,is_otif_flag
43,PO-0000043,20251021,20251102,20251106.0,4,2,3,10,8,84.16,841.6,16,True,False,False
44,PO-0000044,20251120,20251202,20251130.0,4,2,3,10,10,84.16,841.6,10,False,True,True
45,PO-0000045,20251208,20251220,20251221.0,4,2,3,10,10,84.16,841.6,13,False,True,True
46,PO-0000046,20251107,20251114,20251114.0,6,4,6,10,10,48.06,480.6,7,False,True,True
47,PO-0000047,20250904,20250911,20250911.0,6,4,7,10,10,48.06,480.6,7,False,True,True
48,PO-0000048,20251226,20251231,20251230.0,6,4,7,10,10,48.06,480.6,4,False,True,True
49,PO-0000049,20250921,20250928,20250927.0,6,4,5,10,10,48.06,480.6,6,False,True,True
50,PO-0000050,20251203,20251210,20251210.0,6,4,5,10,10,48.06,480.6,7,False,True,True
51,PO-0000051,20250909,20250916,20250916.0,6,4,4,10,10,48.06,480.6,7,False,True,True
52,PO-0000052,20251110,20251117,20251116.0,6,4,4,10,10,48.06,480.6,6,False,True,True
53,PO-0000053,20250928,20251018,20251013.0,7,11,1,10,10,2.44,24.4,15,True,True,False
54,PO-0000054,20251109,20251129,20251208.0,7,11,7,10,10,2.44,24.4,29,False,True,True
55,PO-0000055,20250903,20250923,20251006.0,8,39,9,10,10,126.3,1263.0,33,True,True,False
56,PO-0000056,20251006,20251026,20251019.0,8,39,9,10,10,126.3,1263.0,13,False,True,True
57,PO-0000057,20251027,20251116,20251116.0,8,39,9,10,10,126.3,1263.0,20,True,True,False
58,PO-0000058,20251116,20251206,20251215.0,8,39,9,10,10,126.3,1263.0,29,False,True,True
59,PO-0000059,20251215,20251231,,8,39,9,10,0,126.3,1263.0,23,False,False,False
60,PO-0000060,20250917,20251007,20251019.0,8,39,6,10,10,126.3,1263.0,32,True,True,False
61,PO-0000061,20251117,20251207,20251212.0,8,39,6,10,10,126.3,1263.0,25,False,True,True
62,PO-0000062,20251107,20251119,20251122.0,9,8,7,10,10,218.71,2187.1,15,True,True,False
63,PO-0000063,20250909,20250921,20251004.0,9,8,10,10,10,218.71,2187.1,25,True,True,False
64,PO-0000064,20251101,20251113,20251113.0,9,8,10,10,10,218.71,2187.1,12,False,True,True
65,PO-0000065,20251130,20251212,20251210.0,9,8,10,10,10,218.71,2187.1,10,False,True,True
66,PO-0000066,20251217,20251229,20251227.0,9,8,10,10,10,218.71,2187.1,10,False,True,True
67,PO-0000067,20251231,20251231,,9,8,10,10,0,218.71,2187.1,13,False,False,False
68,PO-0000068,20251115,20251127,20251127.0,10,26,9,10,10,9.94,99.4,12,False,True,True
69,PO-0000069,20250920,20250927,20250928.0,12,36,8,10,10,114.88,1148.8,8,False,True,True
70,PO-0000070,20250904,20250911,20250913.0,12,36,10,10,10,114.88,1148.8,9,False,True,True
71,PO-0000071,20251102,20251109,20251107.0,12,36,10,10,10,114.88,1148.8,5,False,True,True
72,PO-0000072,20251127,20251204,20251205.0,12,36,10,10,10,114.88,1148.8,8,False,True,True
73,PO-0000073,20251231,20251231,,12,36,10,10,0,114.88,1148.8,6,False,False,False
74,PO-0000074,20250911,20250918,20250918.0,13,15,6,13,13,178.47,2320.11,7,False,True,True
75,PO-0000075,20251003,20251010,20251010.0,13,15,6,13,13,178.47,2320.11,7,False,True,True
76,PO-0000076,20251030,20251106,20251106.0,13,15,6,13,13,178.47,2320.11,7,False,True,True
77,PO-0000077,20251120,20251127,20251128.0,13,15,6,13,13,178.47,2320.11,8,False,True,True
78,PO-0000078,20251211,20251218,20251215.0,13,15,6,13,13,178.47,2320.11,4,False,True,True
79,PO-0000079,20250910,20250917,20250914.0,13,15,8,13,13,178.47,2320.11,4,False,True,True
80,PO-0000080,20251002,20251009,20251007.0,13,15,8,13,13,178.47,2320.11,5,False,True,True
81,PO-0000081,20251024,20251031,20251031.0,13,15,8,13,13,178.47,2320.11,7,False,True,True
82,PO-0000082,20251111,20251118,20251114.0,13,15,8,13,13,178.47,2320.11,3,False,True,True
83,PO-0000083,20251125,20251202,20251201.0,13,15,8,13,13,178.47,2320.11,6,False,True,True
84,PO-0000084,20251213,20251220,20251219.0,13,15,8,13,13,178.47,2320.11,6,False,True,True
85,PO-0000085,20251231,20251231,,13,15,8,13,0,178.47,2320.11,7,False,False,False
86,PO-0000086,20250917,20250924,20250921.0,13,15,1,13,13,178.47,2320.11,4,False,True,True
87,PO-0000087,20251016,20251023,20251023.0,13,15,1,13,13,178.47,2320.11,7,False,True,True
88,PO-0000088,20251113,20251120,20251120.0,13,15,1,13,13,178.47,2320.11,7,False,True,True
89,PO-0000089,20251128,20251205,20251210.0,13,15,1,13,13,178.47,2320.11,12,True,True,False
90,PO-0000090,20251223,20251230,20251230.0,13,15,1,13,13,178.47,2320.11,7,False,True,True
91,PO-0000091,20251008,20251020,20251023.0,14,28,6,10,10,20.96,209.6,15,False,True,True
92,PO-0000092,20251212,20251224,20251229.0,14,28,6,10,10,20.96,209.6,17,True,True,False
93,PO-0000093,20250903,20250915,20250912.0,14,28,3,10,10,20.96,209.6,9,False,True,True
94,PO-0000094,20251014,20251026,20251025.0,14,28,3,10,10,20.96,209.6,11,False,True,True
95,PO-0000095,20251117,20251129,20251203.0,14,28,3,10,10,20.96,209.6,16,False,True,True
96,PO-0000096,20250903,20250915,20250914.0,14,28,10,16,16,20.96,335.36,11,True,True,False
97,PO-0000097,20250928,20251010,20251012.0,14,28,10,16,16,20.96,335.36,14,False,True,True
98,PO-0000098,20251021,20251102,20251031.0,14,28,10,16,16,20.96,335.36,10,False,True,True
99,PO-0000099,20251112,20251124,20251130.0,14,28,10,16,13,20.96,335.36,18,True,False,False
100,PO-0000100,20251207,20251219,20251221.0,14,28,10,16,16,20.96,335.36,14,False,True,True
101,PO-0000101,20251230,20251231,,14,28,10,16,0,20.96,335.36,11,False,False,False
102,PO-0000102,20250908,20250915,20250917.0,15,20,10,10,10,87.86,878.6,9,False,True,True
103,PO-0000103,20251107,20251114,20251116.0,15,20,10,10,10,87.86,878.6,9,False,True,True
104,PO-0000104,20251129,20251206,20251207.0,15,20,10,10,10,87.86,878.6,8,False,True,True
105,PO-0000105,20251224,20251231,20251231.0,15,20,10,10,10,87.86,878.6,7,False,True,True
106,PO-0000106,20251124,20251214,20251218.0,16,5,8,10,10,164.74,1647.4,24,False,True,True
107,PO-0000107,20250903,20250923,20250913.0,16,5,9,10,10,164.74,1647.4,10,True,True,False
108,PO-0000108,20250927,20251017,20251013.0,16,5,9,10,10,164.74,1647.4,16,False,True,True
109,PO-0000109,20251014,20251103,20251111.0,16,5,9,10,10,164.74,1647.4,28,True,True,False
110,PO-0000110,20251111,20251201,20251201.0,16,5,9,10,10,164.74,1647.4,20,True,True,False
111,PO-0000111,20251201,20251221,20251222.0,16,5,9,10,10,164.74,1647.4,21,True,True,False
112,PO-0000112,20250903,20250923,20251006.0,16,5,3,10,10,164.74,1647.4,33,False,True,True
113,PO-0000113,20251113,20251203,20251128.0,16,5,3,10,10,164.74,1647.4,15,False,True,True
114,PO-0000114,20251005,20251025,20251103.0,16,5,1,10,10,164.74,1647.4,29,False,True,True
115,PO-0000115,20250925,20251007,20251005.0,17,9,2,10,10,82.68,826.8,10,False,True,True
116,PO-0000116,20251004,20251016,20251013.0,17,9,5,10,10,82.68,826.8,9,False,True,True
117,PO-0000117,20250903,20250915,20250914.0,18,30,9,10,10,42.76,427.6,11,False,True,True
118,PO-0000118,20250924,20251006,20251004.0,18,30,9,10,10,42.76,427.6,10,False,True,True
119,PO-0000119,20251106,20251118,20251124.0,18,30,9,10,10,42.76,427.6,18,True,True,False
120,PO-0000120,20251205,20251217,20251217.0,18,30,9,10,10,42.76,427.6,12,False,True,True
121,PO-0000121,20251101,20251113,20251123.0,18,30,2,10,10,42.76,427.6,22,True,True,False
122,PO-0000122,20251213,20251225,20251226.0,18,30,6,10,10,42.76,427.6,13,False,True,True
123,PO-0000123,20251215,20251227,,18,30,3,10,0,42.76,427.6,17,True,False,False
124,PO-0000124,20251119,20251201,20251129.0,18,30,8,10,10,42.76,427.6,10,False,True,True
125,PO-0000125,20251207,20251219,20251221.0,19,28,8,10,10,44.22,442.2,14,False,True,True
126,PO-0000126,20251122,20251204,20251208.0,19,28,1,10,10,44.22,442.2,16,True,True,False
127,PO-0000127,20251117,20251124,20251122.0,20,21,7,10,10,91.1,911.0,5,False,True,True
128,PO-0000128,20251003,20251010,20251007.0,20,21,1,10,10,91.1,911.0,4,False,True,True
129,PO-0000129,20250903,20250910,20250910.0,20,21,9,10,8,91.1,911.0,7,False,False,False
130,PO-0000130,20251011,20251018,20251017.0,20,21,9,10,10,91.1,911.0,6,False,True,True
131,PO-0000131,20251114,20251121,20251118.0,20,21,9,10,10,91.1,911.0,4,False,True,True
132,PO-0000132,20251207,20251214,20251214.0,20,21,9,10,10,91.1,911.0,7,False,True,True
133,PO-0000133,20250913,20250925,20250923.0,21,32,9,10,10,106.25,1062.5,10,False,True,True
134,PO-0000134,20251127,20251209,20251213.0,21,32,9,10,10,106.25,1062.5,16,True,True,False
135,PO-0000135,20250916,20250928,20250929.0,21,32,6,10,10,106.25,1062.5,13,False,True,True
136,PO-0000136,20251205,20251217,20251221.0,21,32,7,10,10,106.25,1062.5,16,False,True,True
137,PO-0000137,20251009,20251021,20251019.0,22,28,5,10,10,189.81,1898.1,10,False,True,True
138,PO-0000138,20251103,20251110,20251109.0,23,14,4,10,10,141.83,1418.3,6,False,True,True
139,PO-0000139,20251214,20251221,20251220.0,23,14,4,10,10,141.83,1418.3,6,False,True,True
140,PO-0000140,20250912,20250919,20250919.0,23,14,1,10,10,141.83,1418.3,7,False,True,True
141,PO-0000141,20251104,20251111,20251111.0,23,14,1,10,10,141.83,1418.3,7,False,True,True
142,PO-0000142,20250913,20250920,20250920.0,23,14,2,10,10,141.83,1418.3,7,False,True,True
143,PO-0000143,20251128,20251205,20251204.0,23,14,2,10,10,141.83,1418.3,6,False,True,True
144,PO-0000144,20250904,20250911,20250907.0,23,14,10,11,11,141.83,1560.13,3,False,True,True
145,PO-0000145,20250929,20251006,20251013.0,23,14,10,11,11,141.83,1560.13,14,True,True,False
146,PO-0000146,20251029,20251105,20251104.0,23,14,10,11,9,141.83,1560.13,6,False,False,False
147,PO-0000147,20251115,20251122,20251121.0,23,14,10,11,11,141.83,1560.13,6,False,True,True
148,PO-0000148,20251129,20251206,20251208.0,23,14,10,11,11,141.83,1560.13,9,False,True,True
149,PO-0000149,20251218,20251225,20251224.0,23,14,10,11,9,141.83,1560.13,6,False,False,False
150,PO-0000150,20250906,20250913,20250911.0,23,14,9,11,11,141.83,1560.13,5,False,True,True
151,PO-0000151,20251015,20251022,20251022.0,23,14,9,11,11,141.83,1560.13,7,False,True,True
152,PO-0000152,20251114,20251121,20251120.0,23,14,9,11,11,141.83,1560.13,6,False,True,True
153,PO-0000153,20251206,20251213,20251212.0,23,14,9,11,11,141.83,1560.13,6,False,True,True
154,PO-0000154,20251206,20251218,20251221.0,25,38,4,10,10,216.28,2162.8,15,False,True,True
155,PO-0000155,20250903,20250923,20250925.0,26,39,3,10,10,91.49,914.9,22,False,True,True
156,PO-0000156,20251123,20251213,20251212.0,26,39,7,10,10,91.49,914.9,19,False,True,True
157,PO-0000157,20250905,20250917,20250919.0,27,2,10,18,18,89.63,1613.34,14,False,True,True
158,PO-0000158,20250930,20251012,20251010.0,27,2,10,18,18,89.63,1613.34,10,False,True,True
159,PO-0000159,20251029,20251110,20251108.0,27,2,10,18,18,89.63,1613.34,10,False,True,True
160,PO-0000160,20251126,20251208,20251210.0,27,2,10,18,18,89.63,1613.34,14,False,True,True
161,PO-0000161,20251217,20251229,,27,2,10,18,0,89.63,1613.34,20,True,False,False
162,PO-0000162,20250903,20250915,20250913.0,27,2,8,10,10,89.63,896.3,10,False,True,True
163,PO-0000163,20251011,20251023,20251023.0,27,2,8,10,10,89.63,896.3,12,False,True,True
164,PO-0000164,20251124,20251206,20251214.0,27,2,8,10,10,89.63,896.3,20,False,True,True
165,PO-0000165,20250906,20250918,20250930.0,27,2,2,10,10,89.63,896.3,24,True,True,False
166,PO-0000166,20251104,20251116,20251118.0,27,2,2,10,10,89.63,896.3,14,False,True,True
167,PO-0000167,20251128,20251210,20251210.0,27,2,2,10,10,89.63,896.3,12,False,True,True
168,PO-0000168,20251229,20251231,,27,2,2,10,0,89.63,896.3,11,False,False,False
169,PO-0000169,20250903,20250915,20250919.0,27,2,4,10,8,89.63,896.3,16,False,False,False
170,PO-0000170,20251104,20251116,20251109.0,27,2,4,10,10,89.63,896.3,5,False,True,True
171,PO-0000171,20251217,20251229,20251230.0,27,2,4,10,10,89.63,896.3,13,False,True,True
172,PO-0000172,20251004,20251016,20251017.0,27,2,1,10,8,89.63,896.3,13,False,False,False
173,PO-0000173,20251117,20251129,20251209.0,27,2,1,10,10,89.63,896.3,22,True,True,False
174,PO-0000174,20251226,20251231,,27,2,1,10,0,89.63,896.3,11,False,False,False
175,PO-0000175,20250906,20250918,20250920.0,28,32,7,10,10,203.25,2032.5,14,False,True,True
176,PO-0000176,20251030,20251111,20251110.0,28,32,7,10,10,203.25,2032.5,11,False,True,True
177,PO-0000177,20251221,20251231,20251230.0,28,32,7,10,10,203.25,2032.5,9,False,True,True
178,PO-0000178,20250903,20250915,20250923.0,28,32,1,10,10,203.25,2032.5,20,True,True,False
179,PO-0000179,20251011,20251023,20251022.0,28,32,1,10,10,203.25,2032.5,11,False,True,True
180,PO-0000180,20251122,20251204,20251207.0,28,32,1,10,10,203.25,2032.5,15,True,True,False
181,PO-0000181,20251221,20251231,,28,32,1,10,0,203.25,2032.5,23,True,False,False
182,PO-0000182,20250903,20250915,20250918.0,28,32,4,10,10,203.25,2032.5,15,True,True,False
183,PO-0000183,20251006,20251018,20251012.0,28,32,4,10,10,203.25,2032.5,6,False,True,True
184,PO-0000184,20251128,20251210,20251219.0,28,32,4,10,10,203.25,2032.5,21,True,True,False
185,PO-0000185,20250917,20250929,20250927.0,28,32,5,10,10,203.25,2032.5,10,False,True,True
186,PO-0000186,20251103,20251115,20251115.0,28,32,5,10,10,203.25,2032.5,12,False,True,True
187,PO-0000187,20251208,20251220,20251215.0,28,32,5,10,10,203.25,2032.5,7,False,True,True
188,PO-0000188,20250903,20250915,20250911.0,28,32,3,10,10,203.25,2032.5,8,False,True,True
189,PO-0000189,20251101,20251113,20251115.0,28,32,3,10,10,203.25,2032.5,14,True,True,False
190,PO-0000190,20251126,20251208,20251208.0,28,32,3,10,10,203.25,2032.5,12,False,True,True
191,PO-0000191,20251216,20251228,20251230.0,28,32,3,10,10,203.25,2032.5,14,False,True,True
192,PO-0000192,20250903,20250923,20250919.0,29,6,7,10,10,55.22,552.2,16,False,True,True
193,PO-0000193,20250923,20251013,20251019.0,29,6,7,10,10,55.22,552.2,26,False,True,True
194,PO-0000194,20251117,20251207,20251130.0,29,6,7,10,10,55.22,552.2,13,False,True,True
195,PO-0000195,20250903,20250923,20251001.0,29,6,8,10,10,55.22,552.2,28,True,True,False
196,PO-0000196,20251006,20251026,20251103.0,29,6,8,10,10,55.22,552.2,28,False,True,True
197,PO-0000197,20251203,20251223,20251218.0,29,6,8,10,10,55.22,552.2,15,False,True,True
198,PO-0000198,20251225,20251231,,29,6,8,10,0,55.22,552.2,21,False,False,False
199,PO-0000199,20250903,20250923,20250921.0,29,6,4,10,10,55.22,552.2,18,True,True,False
200,PO-0000200,20251016,20251105,20251118.0,29,6,4,10,10,55.22,552.2,33,True,True,False
201,PO-0000201,20251124,20251214,20251214.0,29,6,4,10,10,55.22,552.2,20,False,True,True
202,PO-0000202,20251222,20251231,,29,6,4,10,0,55.22,552.2,13,False,False,False
203,PO-0000203,20250903,20250923,20250922.0,29,6,9,19,19,55.22,1049.18,19,False,True,True
204,PO-0000204,20250922,20251012,20251017.0,29,6,9,19,19,55.22,1049.18,25,True,True,False
205,PO-0000205,20251017,20251106,20251105.0,29,6,9,19,19,55.22,1049.18,19,False,True,True
206,PO-0000206,20251106,20251126,20251127.0,29,6,9,19,16,55.22,1049.18,21,False,False,False
207,PO-0000207,20251128,20251218,20251222.0,29,6,9,19,19,55.22,1049.18,24,False,True,True
208,PO-0000208,20251222,20251231,,29,6,9,19,0,55.22,1049.18,23,False,False,False
209,PO-0000209,20250903,20250923,20251009.0,29,6,10,19,16,55.22,1049.18,36,True,False,False
210,PO-0000210,20251009,20251029,20251105.0,29,6,10,19,19,55.22,1049.18,27,False,True,True
211,PO-0000211,20251106,20251126,20251201.0,29,6,10,19,19,55.22,1049.18,25,False,True,True
212,PO-0000212,20251201,20251221,20251221.0,29,6,10,19,19,55.22,1049.18,20,False,True,True
213,PO-0000213,20251221,20251231,,29,6,10,19,0,55.22,1049.18,23,False,False,False
214,PO-0000214,20250911,20250923,20250922.0,30,35,3,10,10,160.96,1609.6,11,False,True,True
215,PO-0000215,20251103,20251115,20251111.0,30,35,7,10,10,160.96,1609.6,8,False,True,True
216,PO-0000216,20251017,20251029,20251023.0,30,35,1,10,10,160.96,1609.6,6,False,True,True
217,PO-0000217,20251008,20251020,20251022.0,30,35,2,10,10,160.96,1609.6,14,False,True,True
218,PO-0000218,20251104,20251116,20251119.0,30,35,6,10,10,160.96,1609.6,15,False,True,True
219,PO-0000219,20250914,20250926,20250929.0,30,35,10,10,10,160.96,1609.6,15,False,True,True
220,PO-0000220,20251101,20251113,20251113.0,30,35,10,10,10,160.96,1609.6,12,False,True,True
221,PO-0000221,20251123,20251205,20251203.0,30,35,10,10,10,160.96,1609.6,10,False,True,True
222,PO-0000222,20251222,20251231,,30,35,10,10,0,160.96,1609.6,10,False,False,False
223,PO-0000223,20251105,20251117,20251112.0,31,24,1,10,10,166.37,1663.7,7,False,True,True
224,PO-0000224,20251223,20251231,,31,24,3,10,0,166.37,1663.7,14,False,False,False
225,PO-0000225,20251021,20251102,20251101.0,31,24,4,10,10,166.37,1663.7,11,False,True,True
226,PO-0000226,20251029,20251110,20251109.0,31,24,6,10,10,166.37,1663.7,11,False,True,True
227,PO-0000227,20251107,20251119,20251116.0,31,24,7,10,10,166.37,1663.7,9,False,True,True
228,PO-0000228,20251109,20251121,20251121.0,32,28,3,10,10,22.87,228.7,12,False,True,True
229,PO-0000229,20250925,20251015,20251020.0,34,25,3,10,10,45.32,453.2,25,True,True,False
230,PO-0000230,20250925,20251015,20251028.0,34,25,8,10,10,45.32,453.2,33,True,True,False
231,PO-0000231,20250903,20250923,20250923.0,35,11,10,25,25,42.0,1050.0,20,False,True,True
232,PO-0000232,20250923,20251013,20251003.0,35,11,10,25,25,42.0,1050.0,10,False,True,True
233,PO-0000233,20251017,20251106,20251115.0,35,11,10,25,25,42.0,1050.0,29,True,True,False
234,PO-0000234,20251115,20251205,20251127.0,35,11,10,25,25,42.0,1050.0,12,True,True,False
235,PO-0000235,20251130,20251220,20251212.0,35,11,10,25,25,42.0,1050.0,12,False,True,True
236,PO-0000236,20251220,20251231,,35,11,10,25,0,42.0,1050.0,22,False,False,False
237,PO-0000237,20250905,20250917,20250920.0,36,33,10,21,21,102.85,2159.85,15,True,True,False
238,PO-0000238,20251009,20251021,20251018.0,36,33,10,21,17,102.85,2159.85,9,False,False,False
239,PO-0000239,20251102,20251114,20251115.0,36,33,10,21,21,102.85,2159.85,13,False,True,True
240,PO-0000240,20251122,20251204,20251208.0,36,33,10,21,21,102.85,2159.85,16,False,True,True
241,PO-0000241,20251214,20251226,20251223.0,36,33,10,21,21,102.85,2159.85,9,False,True,True
242,PO-0000242,20250910,20250922,20251002.0,36,33,3,10,10,102.85,1028.5,22,True,True,False
243,PO-0000243,20251111,20251123,20251124.0,36,33,3,10,10,102.85,1028.5,13,False,True,True
244,PO-0000244,20251214,20251226,20251231.0,36,33,3,10,10,102.85,1028.5,17,False,True,True
245,PO-0000245,20251015,20251027,20251029.0,37,23,6,10,8,64.74,647.4,14,False,False,False
246,PO-0000246,20251228,20251231,,37,23,7,10,0,64.74,647.4,10,False,False,False
247,PO-0000247,20251126,20251208,20251212.0,37,23,4,10,10,64.74,647.4,16,False,True,True
248,PO-0000248,20250912,20250924,20250922.0,37,23,5,10,10,64.74,647.4,10,False,True,True
249,PO-0000249,20251116,20251128,20251130.0,37,23,1,10,10,64.74,647.4,14,False,True,True
250,PO-0000250,20251123,20251205,20251205.0,37,23,3,10,10,64.74,647.4,12,False,True,True
251,PO-0000251,20251021,20251102,20251108.0,37,23,9,10,10,64.74,647.4,18,True,True,False
252,PO-0000252,20251130,20251212,20251209.0,37,23,9,10,10,64.74,647.4,9,False,True,True
253,PO-0000253,20250903,20250915,20250922.0,40,1,3,10,10,176.89,1768.9,19,False,True,True
254,PO-0000254,20251227,20251231,,40,1,3,10,0,176.89,1768.9,9,False,False,False
255,PO-0000255,20250903,20250915,20250916.0,40,1,2,10,10,176.89,1768.9,13,False,True,True
256,PO-0000256,20251207,20251219,20251221.0,40,1,2,10,10,176.89,1768.9,14,False,True,True
257,PO-0000257,20251114,20251126,20251124.0,40,1,5,10,10,176.89,1768.9,10,False,True,True
258,PO-0000258,20251004,20251016,20251012.0,40,1,1,10,10,176.89,1768.9,8,False,True,True
259,PO-0000259,20251009,20251021,20251021.0,40,1,8,10,10,176.89,1768.9,12,False,True,True
260,PO-0000260,20251101,20251113,20251121.0,41,23,1,10,10,59.63,596.3,20,True,True,False
261,PO-0000261,20251215,20251227,,41,23,7,10,0,59.63,596.3,20,True,False,False
262,PO-0000262,20250926,20251008,20251008.0,41,23,2,10,10,59.63,596.3,12,False,True,True
263,PO-0000263,20250906,20250918,20250918.0,41,23,9,10,10,59.63,596.3,12,False,True,True
264,PO-0000264,20251117,20251129,20251205.0,41,23,9,10,10,59.63,596.3,18,True,True,False
265,PO-0000265,20250922,20250929,20251007.0,42,14,9,10,10,61.4,614.0,15,True,True,False
266,PO-0000266,20251206,20251213,20251217.0,42,14,9,10,10,61.4,614.0,11,True,True,False
267,PO-0000267,20251003,20251010,20251010.0,43,27,6,10,10,57.16,571.6,7,False,True,True
268,PO-0000268,20251014,20251021,20251020.0,43,27,7,10,10,57.16,571.6,6,False,True,True
269,PO-0000269,20251207,20251214,20251215.0,43,27,7,10,10,57.16,571.6,8,False,True,True
270,PO-0000270,20251022,20251029,20251030.0,43,27,3,10,10,57.16,571.6,8,False,True,True
271,PO-0000271,20251012,20251019,20251020.0,44,15,4,10,10,31.01,310.1,8,False,True,True
272,PO-0000272,20251219,20251226,20251225.0,44,15,3,10,10,31.01,310.1,6,False,True,True
273,PO-0000273,20251025,20251101,20251102.0,44,15,8,10,10,31.01,310.1,8,False,True,True
274,PO-0000274,20251124,20251201,20251201.0,44,15,1,10,10,31.01,310.1,7,False,True,True
275,PO-0000275,20251102,20251109,20251109.0,44,15,5,10,10,31.01,310.1,7,False,True,True
276,PO-0000276,20251112,20251119,20251120.0,44,15,2,10,10,31.01,310.1,8,False,True,True
277,PO-0000277,20250921,20251011,20251013.0,45,39,9,10,10,207.72,2077.2,22,True,True,False
278,PO-0000278,20251128,20251218,20251222.0,45,39,9,10,10,207.72,2077.2,24,True,True,False
279,PO-0000279,20250924,20251006,20251004.0,46,28,10,10,10,89.35,893.5,10,False,True,True
280,PO-0000280,20251027,20251108,20251109.0,46,28,10,10,10,89.35,893.5,13,False,True,True
