employee_key,employee_id,employee_name,role,home_location_key,is_active
42,EMP-00042,Employee 42,Cashier,3,True
43,EMP-00043,Employee 43,Cashier,3,True
44,EMP-00044,Employee 44,Cashier,1,True
45,EMP-00045,Employee 45,Cashier,5,True
46,EMP-00046,Employee 46,Cashier,7,True
47,EMP-00047,Employee 47,Cashier,4,True
48,EMP-00048,Employee 48,Sales Associate,2,True
49,EMP-00049,Employee 49,Cashier,3,True
50,EMP-00050,Employee 50,Cashier,4,True
51,EMP-00051,Employee 51,Sales Associate,8,True
52,EMP-00052,Employee 52,Cashier,1,True
53,EMP-00053,Employee 53,Cashier,3,True
54,EMP-00054,Employee 54,Cashier,6,True
55,EMP-00055,Employee 55,Cashier,2,True
56,EMP-00056,Employee 56,Cashier,8,True
57,EMP-00057,Employee 57,Cashier,8,True
58,EMP-00058,Employee 58,Cashier,4,True
59,EMP-00059,Employee 59,Store Manager,6,True
60,EMP-00060,Employee 60,Shift Lead,7,True
61,EMP-00061,Employee 61,Cashier,6,True
62,EMP-00062,Employee 62,Cashier,2,True
63,EMP-00063,Employee 63,Cashier,1,True
64,EMP-00064,Employee 64,Shift Lead,3,True
65,EMP-00065,Employee 65,Shift Lead,2,True
66,EMP-00066,Employee 66,Cashier,3,True
67,EMP-00067,Employee 67,Cashier,6,True
68,EMP-00068,Employee 68,Cashier,5,True
69,EMP-00069,Employee 69,Shift Lead,2,True
70,EMP-00070,Employee 70,Shift Lead,1,True
71,EMP-00071,Employee 71,Cashier,2,True
72,EMP-00072,Employee 72,Sales Associate,4,True
73,EMP-00073,Employee 73,Cashier,7,True
74,EMP-00074,Employee 74,Sales Associate,3,True
75,EMP-00075,Employee 75,Shift Lead,3,True
76,EMP-00076,Employee 76,Cashier,5,True
77,EMP-00077,Employee 77,Cashier,1,True
78,EMP-00078,Employee 78,Sales Associate,2,True
79,EMP-00079,Employee 79,Cashier,1,True
80,EMP-00080,Employee 80,Shift Lead,5,True
81,EMP-00081,Employee 81,Cashier,4,True
82,EMP-00082,Employee 82,Shift Lead,5,True
83,EMP-00083,Employee 83,Cashier,5,True
84,EMP-00084,Employee 84,Cashier,4,True
85,EMP-00085,Employee 85,Cashier,7,True
86,EMP-00086,Employee 86,Cashier,8,True
87,EMP-00087,Employee 87,Cashier,1,True
88,EMP-00088,Employee 88,Sales Associate,8,True
89,EMP-00089,Employee 89,Cashier,2,True
90,EMP-00090,Employee 90,Cashier,2,True
91,EMP-00091,Employee 91,Cashier,5,True
92,EMP-00092,Employee 92,Cashier,1,True
93,EMP-00093,Employee 93,Shift Lead,3,True
94,EMP-00094,Employee 94,Store Manager,2,True
95,EMP-00095,Employee 95,Cashier,4,True
96,EMP-00096,Employee 96,Sales Associate,7,True
97,EMP-00097,Employee 97,Sales Associate,8,True
98,EMP-00098,Employee 98,Store Manager,2,True
99,EMP-00099,Employee 99,Cashier,5,True
100,EMP-00100,Employee 100,Cashier,4,True
101,EMP-00101,Employee 101,Cashier,4,True
102,EMP-00102,Employee 102,Shift Lead,6,True
103,EMP-00103,Employee 103,Sales Associate,8,True
104,EMP-00104,Employee 104,Cashier,4,True
105,EMP-00105,Employee 105,Cashier,1,True
106,EMP-00106,Employee 106,Sales Associate,8,True
107,EMP-00107,Employee 107,Shift Lead,8,True
108,EMP-00108,Employee 108,Cashier,3,True
109,EMP-00109,Employee 109,Sales Associate,5,True
110,EMP-00110,Employee 110,Cashier,7,True
111,EMP-00111,Employee 111,Cashier,5,True
112,EMP-00112,Employee 112,Sales Associate,4,True
113,EMP-00113,Employee 113,Sales Associate,8,True
114,EMP-00114,Employee 114,Store Manager,7,True
115,EMP-00115,Employee 115,Cashier,5,True
116,EMP-00116,Employee 116,Cashier,2,True
117,EMP-00117,Employee 117,Cashier,4,True
118,EMP-00118,Employee 118,Cashier,6,True
119,EMP-00119,Employee 119,Cashier,3,True
120,EMP-00120,Employee 120,Cashier,5,True
