return_key,return_id,return_date_key,product_key,location_key,customer_key,original_order_id,returned_qty,refund_amount,return_reason_code
35,RET-0000035,20250915,647,9,1594,ORD-9-20250915-1,2,796.28,Wrong Item
36,RET-0000036,20250913,375,9,415,ORD-9-20250913-1,1,206.05,Better Price Elsewhere
37,RET-0000037,20251206,49,5,1009,ORD-5-20251206-0,1,138.47,Damaged in Transit
38,RET-0000038,20251107,243,10,1072,ORD-10-20251107-6,1,261.05,Not As Described
39,RET-0000039,20251001,433,3,1434,ORD-3-20251001-5,1,243.03,Wrong Item
40,RET-0000040,20250912,531,5,1719,ORD-5-20250912-5,1,554.86,Defective
41,RET-0000041,20251103,117,8,1106,ORD-8-20251103-4,1,201.75,Wrong Item
42,RET-0000042,20251228,645,8,1062,ORD-8-20251228-1,1,421.73,Wrong Item
43,RET-0000043,20251002,546,7,295,ORD-7-20251002-2,1,306.64,Wrong Item
44,RET-0000044,20251207,660,9,384,ORD-9-20251207-3,1,335.53,Defective
45,RET-0000045,20250922,49,10,1904,ORD-10-20250922-0,1,138.47,Changed Mind
46,RET-0000046,20251026,310,1,2000,ORD-1-20251026-1,1,397.72,Defective
47,RET-0000047,20250929,16,9,602,ORD-9-20250929-5,1,358.35,Not As Described
48,RET-0000048,20251212,687,10,1373,ORD-10-20251212-6,2,448.44,Changed Mind
49,RET-0000049,20251202,134,9,1942,ORD-9-20251202-1,1,324.49,Defective
50,RET-0000050,20251120,156,9,1238,ORD-9-20251120-5,3,86.61,Changed Mind
51,RET-0000051,20251106,607,5,193,ORD-5-20251106-5,1,71.24,Damaged in Transit
52,RET-0000052,20251125,426,7,1201,ORD-7-20251125-5,1,350.19,Changed Mind
53,RET-0000053,20251121,538,2,972,ORD-2-20251121-6,1,507.94,Wrong Item
54,RET-0000054,20251015,311,8,278,ORD-8-20251015-3,1,200.79,Changed Mind
55,RET-0000055,20251011,93,10,929,ORD-10-20251011-0,1,212.06,Changed Mind
56,RET-0000056,20251122,689,9,769,ORD-9-20251122-1,1,3.96,Defective
57,RET-0000057,20251217,426,10,887,ORD-10-20251217-3,1,350.19,Defective
58,RET-0000058,20251227,371,8,1928,ORD-8-20251227-5,1,269.2,Defective
59,RET-0000059,20251020,301,1,1368,ORD-1-20251020-4,1,10.82,Damaged in Transit
60,RET-0000060,20251114,68,4,299,ORD-4-20251114-3,1,145.53,Damaged in Transit
61,RET-0000061,20251124,136,9,1010,ORD-9-20251124-4,1,233.99,Defective
62,RET-0000062,20251110,185,5,1637,ORD-5-20251110-3,1,316.99,Changed Mind
63,RET-0000063,20251116,126,9,1985,ORD-9-20251116-4,1,318.99,Defective
64,RET-0000064,20251010,719,9,646,ORD-9-20251010-4,1,267.35,Damaged in Transit
65,RET-0000065,20250917,132,8,1634,ORD-8-20250917-3,1,90.26,Not As Described
66,RET-0000066,20251029,421,7,1226,ORD-7-20251029-3,1,9.48,Changed Mind
67,RET-0000067,20251012,765,9,448,ORD-9-20251012-5,1,169.72,Not As Described
68,RET-0000068,20251031,677,8,1504,ORD-8-20251031-4,1,292.76,Changed Mind
69,RET-0000069,20251105,471,10,203,ORD-10-20251105-0,1,127.14,Better Price Elsewhere
70,RET-0000070,20251124,452,1,1413,ORD-1-20251124-3,1,110.36,Wrong Item
71,RET-0000071,20250907,380,10,1073,ORD-10-20250907-1,1,57.75,Changed Mind
72,RET-0000072,20251110,173,10,1480,ORD-10-20251110-5,1,81.27,Changed Mind
73,RET-0000073,20251112,157,7,896,ORD-7-20251112-3,1,296.91,Defective
74,RET-0000074,20251215,347,10,141,ORD-10-20251215-4,1,302.77,Changed Mind
75,RET-0000075,20251103,173,10,893,ORD-10-20251103-4,1,81.27,Wrong Item
76,RET-0000076,20251225,654,9,777,ORD-9-20251225-2,1,54.85,Wrong Item
77,RET-0000077,20251122,600,9,985,ORD-9-20251122-0,1,53.95,Changed Mind
78,RET-0000078,20251019,259,10,1574,ORD-10-20251019-2,1,224.95,Changed Mind
79,RET-0000079,20251118,798,7,1058,ORD-7-20251118-0,1,91.7,Defective
80,RET-0000080,20251030,388,4,1814,ORD-4-20251030-3,1,122.74,Changed Mind
81,RET-0000081,20251117,642,6,1636,ORD-6-20251117-5,1,239.32,Defective
82,RET-0000082,20251226,326,1,528,ORD-1-20251226-3,1,42.33,Better Price Elsewhere
83,RET-0000083,20251213,61,2,1665,ORD-2-20251213-0,1,119.55,Changed Mind
84,RET-0000084,20251105,383,6,1917,ORD-6-20251105-3,1,166.78,Better Price Elsewhere
85,RET-0000085,20251226,573,9,1804,ORD-9-20251226-3,1,259.97,Changed Mind
86,RET-0000086,20251214,87,7,579,ORD-7-20251214-1,1,80.68,Changed Mind
87,RET-0000087,20250906,215,9,1198,ORD-9-20250906-6,1,311.88,Damaged in Transit
88,RET-0000088,20250921,224,10,1986,ORD-10-20250921-4,1,82.38,Wrong Item
89,RET-0000089,20251211,388,10,1322,ORD-10-20251211-5,1,122.74,Defective
90,RET-0000090,20251019,352,7,1542,ORD-7-20251019-0,1,242.37,Not As Described
91,RET-0000091,20250912,329,5,672,ORD-5-20250912-4,1,118.03,Changed Mind
92,RET-0000092,20251110,409,1,115,ORD-1-20251110-5,1,235.59,Better Price Elsewhere
93,RET-0000093,20251113,740,2,1816,ORD-2-20251113-1,1,9.89,Changed Mind
94,RET-0000094,20251201,333,9,340,ORD-9-20251201-2,1,135.2,Changed Mind
95,RET-0000095,20251119,4,3,1549,ORD-3-20251119-6,1,157.3,Changed Mind
96,RET-0000096,20251104,344,4,314,ORD-4-20251104-5,1,297.47,Not As Described
97,RET-0000097,20251006,286,9,639,ORD-9-20251006-4,1,58.76,Changed Mind
98,RET-0000098,20250918,616,9,1389,ORD-9-20250918-2,1,81.98,Changed Mind
99,RET-0000099,20251113,520,3,1357,ORD-3-20251113-5,1,14.88,Defective
100,RET-0000100,20251018,147,2,697,ORD-2-20251018-5,1,43.66,Defective
101,RET-0000101,20250908,282,7,332,ORD-7-20250908-4,1,280.21,Changed Mind
102,RET-0000102,20251030,13,6,693,ORD-6-20251030-3,1,402.08,Changed Mind
103,RET-0000103,20251215,327,4,1663,ORD-4-20251215-5,1,155.43,Changed Mind
104,RET-0000104,20251119,426,3,1374,ORD-3-20251119-3,1,350.19,Damaged in Transit
105,RET-0000105,20251215,677,5,1990,ORD-5-20251215-3,1,292.76,Defective
106,RET-0000106,20251108,563,9,1355,ORD-9-20251108-4,1,159.35,Changed Mind
107,RET-0000107,20251218,685,9,246,ORD-9-20251218-0,1,118.59,Changed Mind
108,RET-0000108,20250920,765,4,384,ORD-4-20250920-0,1,169.72,Defective
109,RET-0000109,20250903,498,10,1287,ORD-10-20250903-3,1,300.47,Better Price Elsewhere
110,RET-0000110,20251205,346,10,935,ORD-10-20251205-3,1,495.6,Defective
111,RET-0000111,20251016,380,10,546,ORD-10-20251016-5,1,57.75,Changed Mind
112,RET-0000112,20250923,471,6,27,ORD-6-20250923-6,1,127.14,Changed Mind
113,RET-0000113,20251201,538,9,1551,ORD-9-20251201-0,1,507.94,Changed Mind
114,RET-0000114,20251219,14,10,292,ORD-10-20251219-5,1,29.47,Changed Mind
115,RET-0000115,20251228,227,1,565,ORD-1-20251228-6,1,2.87,Not As Described
116,RET-0000116,20251207,18,2,52,ORD-2-20251207-0,1,90.35,Not As Described
117,RET-0000117,20251109,783,7,383,ORD-7-20251109-6,1,151.32,Wrong Item
118,RET-0000118,20251202,426,10,1635,ORD-10-20251202-6,1,350.19,Changed Mind
119,RET-0000119,20251101,136,3,685,ORD-3-20251101-3,1,233.99,Damaged in Transit
120,RET-0000120,20251011,588,3,1029,ORD-3-20251011-3,1,170.32,Damaged in Transit
121,RET-0000121,20251101,594,5,408,ORD-5-20251101-6,1,93.29,Defective
122,RET-0000122,20251221,791,4,516,ORD-4-20251221-2,1,295.96,Defective
123,RET-0000123,20251111,228,4,1947,ORD-4-20251111-1,1,143.9,Changed Mind
124,RET-0000124,20250903,710,2,1563,ORD-2-20250903-3,1,315.76,Not As Described
125,RET-0000125,20251113,259,6,164,ORD-6-20251113-3,1,224.95,Not As Described
126,RET-0000126,20251128,631,2,824,ORD-2-20251128-5,1,110.97,Changed Mind
127,RET-0000127,20250903,134,9,183,ORD-9-20250903-1,1,324.49,Changed Mind
128,RET-0000128,20250905,426,10,597,ORD-10-20250905-2,1,350.19,Wrong Item
129,RET-0000129,20251208,153,10,1810,ORD-10-20251208-4,1,105.85,Defective
130,RET-0000130,20251207,28,3,961,ORD-3-20251207-2,1,419.71,Damaged in Transit
131,RET-0000131,20251104,574,10,53,ORD-10-20251104-6,1,64.14,Damaged in Transit
132,RET-0000132,20250906,224,10,328,ORD-10-20250906-1,1,82.38,Not As Described
133,RET-0000133,20251203,638,10,1981,ORD-10-20251203-6,1,280.92,Defective
134,RET-0000134,20251201,777,6,741,ORD-6-20251201-6,1,473.0,Wrong Item
135,RET-0000135,20251208,52,9,827,ORD-9-20251208-5,1,295.12,Changed Mind
136,RET-0000136,20251101,353,10,299,ORD-10-20251101-2,1,178.15,Changed Mind
137,RET-0000137,20251113,359,2,1276,ORD-2-20251113-2,1,253.25,Defective
138,RET-0000138,20250903,190,8,817,ORD-8-20250903-4,1,371.56,Not As Described
139,RET-0000139,20251220,683,10,306,ORD-10-20251220-0,1,329.11,Changed Mind
140,RET-0000140,20251208,538,9,518,ORD-9-20251208-6,1,507.94,Changed Mind
141,RET-0000141,20251013,474,1,1197,ORD-1-20251013-1,1,66.5,Wrong Item
142,RET-0000142,20251009,791,3,249,ORD-3-20251009-0,1,295.96,Defective
143,RET-0000143,20250924,397,1,789,ORD-1-20250924-4,1,175.27,Wrong Item
144,RET-0000144,20251115,237,9,523,ORD-9-20251115-6,1,158.83,Wrong Item
145,RET-0000145,20251113,371,7,859,ORD-7-20251113-3,1,269.2,Changed Mind
146,RET-0000146,20250906,52,6,274,ORD-6-20250906-3,1,295.12,Changed Mind
147,RET-0000147,20251021,623,5,458,ORD-5-20251021-5,1,33.99,Changed Mind
148,RET-0000148,20251108,482,1,546,ORD-1-20251108-5,1,525.33,Changed Mind
149,RET-0000149,20251002,754,9,579,ORD-9-20251002-0,1,420.58,Wrong Item
150,RET-0000150,20251102,687,3,377,ORD-3-20251102-3,2,448.44,Defective
151,RET-0000151,20251119,765,1,1987,ORD-1-20251119-0,1,169.72,Not As Described
152,RET-0000152,20250926,404,6,370,ORD-6-20250926-4,1,133.35,Defective
153,RET-0000153,20250907,1,6,1637,ORD-6-20250907-6,1,119.0,Better Price Elsewhere
154,RET-0000154,20251229,65,3,801,ORD-3-20251229-5,1,285.56,Not As Described
155,RET-0000155,20250916,742,5,1117,ORD-5-20250916-2,1,368.24,Changed Mind
156,RET-0000156,20251225,226,9,1984,ORD-9-20251225-5,1,38.54,Changed Mind
157,RET-0000157,20251120,640,9,1539,ORD-9-20251120-0,1,118.32,Better Price Elsewhere
158,RET-0000158,20251104,23,9,1263,ORD-9-20251104-2,1,275.12,Defective
159,RET-0000159,20251205,511,9,1926,ORD-9-20251205-4,1,175.16,Defective
160,RET-0000160,20251121,310,9,1465,ORD-9-20251121-3,1,397.72,Wrong Item
161,RET-0000161,20251218,797,5,1544,ORD-5-20251218-6,1,164.26,Defective
162,RET-0000162,20251113,173,10,992,ORD-10-20251113-0,1,81.27,Changed Mind
163,RET-0000163,20250925,388,10,1425,ORD-10-20250925-6,1,122.74,Not As Described
164,RET-0000164,20251202,501,7,122,ORD-7-20251202-4,1,245.47,Wrong Item
165,RET-0000165,20251222,565,3,430,ORD-3-20251222-4,1,143.14,Not As Described
166,RET-0000166,20251106,283,8,1146,ORD-8-20251106-5,1,306.58,Better Price Elsewhere
167,RET-0000167,20251213,533,8,1937,ORD-8-20251213-3,1,398.68,Damaged in Transit
168,RET-0000168,20251220,213,9,1053,ORD-9-20251220-2,1,177.65,Defective
169,RET-0000169,20251005,598,7,43,ORD-7-20251005-5,1,139.18,Defective
170,RET-0000170,20251109,409,6,363,ORD-6-20251109-4,1,235.59,Changed Mind
171,RET-0000171,20251026,156,9,674,ORD-9-20251026-5,1,28.87,Not As Described
172,RET-0000172,20251021,190,8,1672,ORD-8-20251021-0,1,371.56,Wrong Item
173,RET-0000173,20251124,400,9,669,ORD-9-20251124-0,1,221.93,Not As Described
174,RET-0000174,20250916,334,9,1533,ORD-9-20250916-6,1,90.3,Better Price Elsewhere
175,RET-0000175,20251114,93,8,1449,ORD-8-20251114-1,1,212.06,Wrong Item
176,RET-0000176,20250905,324,6,1957,ORD-6-20250905-6,1,289.76,Damaged in Transit
177,RET-0000177,20251127,71,1,1270,ORD-1-20251127-5,1,299.72,Wrong Item
178,RET-0000178,20251128,249,9,807,ORD-9-20251128-6,1,79.45,Changed Mind
179,RET-0000179,20251106,425,5,257,ORD-5-20251106-4,1,49.13,Damaged in Transit
180,RET-0000180,20251217,317,9,374,ORD-9-20251217-0,1,179.91,Wrong Item
181,RET-0000181,20251011,195,9,857,ORD-9-20251011-5,1,201.98,Defective
182,RET-0000182,20251123,576,5,51,ORD-5-20251123-6,1,59.13,Damaged in Transit
183,RET-0000183,20251008,424,5,1241,ORD-5-20251008-1,1,223.04,Damaged in Transit
184,RET-0000184,20250907,475,1,484,ORD-1-20250907-1,1,280.7,Wrong Item
185,RET-0000185,20251109,412,4,440,ORD-4-20251109-5,1,52.77,Changed Mind
186,RET-0000186,20251223,299,9,1706,ORD-9-20251223-0,1,259.44,Not As Described
187,RET-0000187,20250920,46,2,1991,ORD-2-20250920-0,1,167.01,Wrong Item
188,RET-0000188,20251008,644,10,368,ORD-10-20251008-3,1,297.28,Not As Described
189,RET-0000189,20250907,152,10,725,ORD-10-20250907-3,1,80.35,Changed Mind
190,RET-0000190,20251016,465,10,857,ORD-10-20251016-2,1,123.38,Better Price Elsewhere
191,RET-0000191,20251003,322,5,502,ORD-5-20251003-5,1,213.91,Changed Mind
192,RET-0000192,20251111,426,8,979,ORD-8-20251111-1,1,350.19,Better Price Elsewhere
193,RET-0000193,20251107,222,8,942,ORD-8-20251107-2,1,384.02,Wrong Item
194,RET-0000194,20250914,584,3,1543,ORD-3-20250914-0,1,27.07,Changed Mind
195,RET-0000195,20251012,132,1,397,ORD-1-20251012-3,1,90.26,Better Price Elsewhere
196,RET-0000196,20251003,471,3,664,ORD-3-20251003-3,1,127.14,Defective
197,RET-0000197,20251109,126,10,1913,ORD-10-20251109-2,1,318.99,Damaged in Transit
198,RET-0000198,20251228,515,3,1822,ORD-3-20251228-4,1,116.02,Damaged in Transit
199,RET-0000199,20251123,738,9,761,ORD-9-20251123-4,1,395.56,Better Price Elsewhere
200,RET-0000200,20251207,65,10,1830,ORD-10-20251207-1,1,285.56,Defective
201,RET-0000201,20251210,452,4,867,ORD-4-20251210-4,1,110.36,Damaged in Transit
202,RET-0000202,20251208,68,4,897,ORD-4-20251208-1,1,145.53,Better Price Elsewhere
203,RET-0000203,20250908,143,8,1188,ORD-8-20250908-3,1,397.03,Not As Described
204,RET-0000204,20251116,394,4,1006,ORD-4-20251116-4,1,280.85,Not As Described
205,RET-0000205,20250929,424,10,472,ORD-10-20250929-5,1,223.04,Changed Mind
206,RET-0000206,20251212,694,10,408,ORD-10-20251212-6,1,241.66,Not As Described
207,RET-0000207,20251102,261,4,386,ORD-4-20251102-2,1,134.35,Changed Mind
208,RET-0000208,20251228,265,10,1165,ORD-10-20251228-1,1,385.69,Changed Mind
209,RET-0000209,20250906,576,6,269,ORD-6-20250906-2,1,59.13,Changed Mind
210,RET-0000210,20251120,685,3,1859,ORD-3-20251120-3,1,118.59,Defective
211,RET-0000211,20251211,327,10,135,ORD-10-20251211-4,1,155.43,Defective
212,RET-0000212,20250927,687,5,1121,ORD-5-20250927-0,1,224.22,Defective
213,RET-0000213,20251221,286,6,1999,ORD-6-20251221-3,1,58.76,Damaged in Transit
214,RET-0000214,20251024,541,10,1416,ORD-10-20251024-0,1,210.42,Damaged in Transit
215,RET-0000215,20251126,270,5,1649,ORD-5-20251126-3,1,202.18,Changed Mind
216,RET-0000216,20250910,326,1,1470,ORD-1-20250910-6,1,42.33,Changed Mind
217,RET-0000217,20250916,341,6,331,ORD-6-20250916-1,1,317.48,Changed Mind
218,RET-0000218,20251018,237,9,947,ORD-9-20251018-1,1,158.83,Changed Mind
219,RET-0000219,20251105,538,9,617,ORD-9-20251105-3,1,507.94,Changed Mind
220,RET-0000220,20251210,517,9,5,ORD-9-20251210-0,1,158.63,Changed Mind
221,RET-0000221,20251026,126,9,233,ORD-9-20251026-2,1,318.99,Damaged in Transit
222,RET-0000222,20251213,151,3,1592,ORD-3-20251213-6,1,147.3,Changed Mind
223,RET-0000223,20251002,215,4,1420,ORD-4-20251002-2,1,311.88,Changed Mind
224,RET-0000224,20251225,459,9,1186,ORD-9-20251225-2,1,153.71,Damaged in Transit
225,RET-0000225,20250922,136,10,1683,ORD-10-20250922-6,1,233.99,Wrong Item
226,RET-0000226,20251030,80,5,1862,ORD-5-20251030-6,1,173.39,Changed Mind
227,RET-0000227,20251220,561,1,646,ORD-1-20251220-2,1,164.99,Not As Described
228,RET-0000228,20251225,741,3,452,ORD-3-20251225-5,1,18.41,Better Price Elsewhere
229,RET-0000229,20251201,156,8,1282,ORD-8-20251201-1,1,28.87,Not As Described
230,RET-0000230,20250906,254,9,1369,ORD-9-20250906-4,1,178.94,Changed Mind
231,RET-0000231,20250923,149,8,1692,ORD-8-20250923-0,1,352.13,Changed Mind
232,RET-0000232,20251010,743,1,320,ORD-1-20251010-4,1,86.74,Wrong Item
233,RET-0000233,20251231,101,3,1047,ORD-3-20251231-2,1,307.33,Not As Described
234,RET-0000234,20251005,511,9,978,ORD-9-20251005-1,1,175.16,Damaged in Transit
235,RET-0000235,20251019,221,5,1544,ORD-5-20251019-4,1,144.81,Defective
236,RET-0000236,20250911,415,10,1027,ORD-10-20250911-1,1,283.09,Changed Mind
237,RET-0000237,20251210,375,10,102,ORD-10-20251210-1,1,206.05,Wrong Item
238,RET-0000238,20251122,357,9,1132,ORD-9-20251122-2,1,281.45,Changed Mind
239,RET-0000239,20251126,147,2,662,ORD-2-20251126-3,1,43.66,Defective
240,RET-0000240,20251228,90,10,549,ORD-10-20251228-5,1,289.2,Changed Mind
241,RET-0000241,20251015,706,10,891,ORD-10-20251015-3,1,129.39,Not As Described
242,RET-0000242,20251115,351,8,1267,ORD-8-20251115-4,1,277.82,Changed Mind
243,RET-0000243,20251116,791,10,7,ORD-10-20251116-2,1,295.96,Wrong Item
244,RET-0000244,20251220,230,5,1454,ORD-5-20251220-0,1,241.2,Better Price Elsewhere
245,RET-0000245,20251124,376,9,1420,ORD-9-20251124-0,1,431.02,Better Price Elsewhere
246,RET-0000246,20251110,566,5,617,ORD-5-20251110-6,1,296.38,Better Price Elsewhere
247,RET-0000247,20250915,569,4,1421,ORD-4-20250915-1,1,124.24,Wrong Item
248,RET-0000248,20251108,368,9,378,ORD-9-20251108-2,1,381.08,Changed Mind
249,RET-0000249,20250905,665,6,1125,ORD-6-20250905-2,1,475.66,Defective
250,RET-0000250,20250916,254,10,348,ORD-10-20250916-2,1,178.94,Wrong Item
251,RET-0000251,20251028,327,9,1354,ORD-9-20251028-0,1,155.43,Changed Mind
252,RET-0000252,20250904,566,4,1218,ORD-4-20250904-2,1,296.38,Damaged in Transit
253,RET-0000253,20251126,366,10,664,ORD-10-20251126-1,1,81.37,Changed Mind
254,RET-0000254,20251215,37,1,1038,ORD-1-20251215-3,1,88.64,Better Price Elsewhere
255,RET-0000255,20251123,285,9,409,ORD-9-20251123-1,1,176.52,Not As Described
256,RET-0000256,20251209,388,3,1589,ORD-3-20251209-6,1,122.74,Defective
257,RET-0000257,20251001,685,3,171,ORD-3-20251001-2,1,118.59,Changed Mind
258,RET-0000258,20250913,576,5,1629,ORD-5-20250913-2,1,59.13,Not As Described
259,RET-0000259,20251213,382,7,840,ORD-7-20251213-5,1,206.7,Better Price Elsewhere
260,RET-0000260,20251103,456,7,1605,ORD-7-20251103-2,1,292.28,Changed Mind
261,RET-0000261,20251214,178,10,1180,ORD-10-20251214-3,1,221.47,Changed Mind
262,RET-0000262,20251001,117,2,1494,ORD-2-20251001-2,1,201.75,Damaged in Transit
263,RET-0000263,20251212,647,9,745,ORD-9-20251212-3,1,398.14,Changed Mind
264,RET-0000264,20251023,511,3,1423,ORD-3-20251023-0,1,175.16,Changed Mind
265,RET-0000265,20251220,145,7,1095,ORD-7-20251220-1,1,122.47,Changed Mind
266,RET-0000266,20251028,792,9,1377,ORD-9-20251028-4,1,458.41,Changed Mind
267,RET-0000267,20251103,345,9,586,ORD-9-20251103-0,1,502.15,Damaged in Transit
268,RET-0000268,20251007,775,1,345,ORD-1-20251007-5,1,16.26,Changed Mind
269,RET-0000269,20251027,654,9,1376,ORD-9-20251027-6,1,54.85,Changed Mind
270,RET-0000270,20251227,323,2,1734,ORD-2-20251227-6,1,324.25,Changed Mind
271,RET-0000271,20251226,426,3,1145,ORD-3-20251226-4,1,350.19,Damaged in Transit
272,RET-0000272,20251004,470,10,1592,ORD-10-20251004-6,1,11.06,Changed Mind
273,RET-0000273,20251114,156,10,779,ORD-10-20251114-6,1,28.87,Changed Mind
274,RET-0000274,20251116,194,10,1071,ORD-10-20251116-0,1,341.14,Not As Described
275,RET-0000275,20251226,46,2,746,ORD-2-20251226-6,1,167.01,Defective
276,RET-0000276,20251205,28,1,247,ORD-1-20251205-1,1,419.71,Better Price Elsewhere
277,RET-0000277,20251114,765,10,1785,ORD-10-20251114-2,2,339.44,Damaged in Transit
278,RET-0000278,20251213,371,8,1297,ORD-8-20251213-0,1,269.2,Changed Mind
279,RET-0000279,20251122,71,1,1978,ORD-1-20251122-1,1,299.72,Not As Described
280,RET-0000280,20251201,615,1,494,ORD-1-20251201-4,1,316.82,Defective
281,RET-0000281,20251217,398,1,1924,ORD-1-20251217-4,1,70.92,Changed Mind
282,RET-0000282,20251227,397,6,1875,ORD-6-20251227-1,1,175.27,Changed Mind
283,RET-0000283,20251008,149,8,1900,ORD-8-20251008-5,1,352.13,Defective
284,RET-0000284,20251107,177,2,1856,ORD-2-20251107-1,1,119.51,Changed Mind
285,RET-0000285,20250925,147,2,1121,ORD-2-20250925-0,1,43.66,Not As Described
286,RET-0000286,20250928,560,10,760,ORD-10-20250928-6,1,164.48,Defective
287,RET-0000287,20251107,259,10,1464,ORD-10-20251107-1,1,224.95,Better Price Elsewhere
288,RET-0000288,20251121,132,3,1363,ORD-3-20251121-5,1,90.26,Wrong Item
289,RET-0000289,20251026,345,9,571,ORD-9-20251026-4,1,502.15,Defective
290,RET-0000290,20251207,380,9,1393,ORD-9-20251207-0,1,57.75,Wrong Item
291,RET-0000291,20251207,260,6,647,ORD-6-20251207-6,1,325.83,Better Price Elsewhere
292,RET-0000292,20251126,729,8,169,ORD-8-20251126-6,1,285.84,Defective
293,RET-0000293,20251207,713,10,1804,ORD-10-20251207-3,1,145.13,Changed Mind
294,RET-0000294,20251007,783,7,147,ORD-7-20251007-4,1,151.32,Changed Mind
295,RET-0000295,20251005,76,7,464,ORD-7-20251005-2,1,89.8,Better Price Elsewhere
296,RET-0000296,20250922,757,9,187,ORD-9-20250922-0,1,82.96,Wrong Item
297,RET-0000297,20251125,165,5,1351,ORD-5-20251125-4,1,265.1,Better Price Elsewhere
298,RET-0000298,20251105,383,10,1838,ORD-10-20251105-4,1,166.78,Wrong Item
299,RET-0000299,20250921,330,7,921,ORD-7-20250921-4,1,20.77,Better Price Elsewhere
300,RET-0000300,20251129,636,6,436,ORD-6-20251129-5,1,123.78,Changed Mind
301,RET-0000301,20251230,584,3,1974,ORD-3-20251230-2,1,27.07,Not As Described
302,RET-0000302,20251211,70,8,265,ORD-8-20251211-2,1,313.56,Wrong Item
303,RET-0000303,20250923,299,9,1573,ORD-9-20250923-3,1,259.44,Damaged in Transit
304,RET-0000304,20250921,569,4,1347,ORD-4-20250921-0,1,124.24,Defective
305,RET-0000305,20251004,640,9,758,ORD-9-20251004-5,1,118.32,Defective
306,RET-0000306,20251115,481,2,1079,ORD-2-20251115-5,1,116.35,Damaged in Transit
307,RET-0000307,20251226,208,4,1149,ORD-4-20251226-6,1,258.23,Damaged in Transit
308,RET-0000308,20251204,770,6,606,ORD-6-20251204-6,1,279.85,Wrong Item
309,RET-0000309,20251023,81,4,1006,ORD-4-20251023-4,1,473.41,Changed Mind
310,RET-0000310,20251011,254,10,1464,ORD-10-20251011-1,1,178.94,Defective
311,RET-0000311,20251029,606,3,976,ORD-3-20251029-5,1,44.34,Changed Mind
312,RET-0000312,20251019,369,9,937,ORD-9-20251019-2,1,250.59,Defective
313,RET-0000313,20250908,542,7,879,ORD-7-20250908-4,1,20.42,Changed Mind
