transfer_key,transfer_id,transfer_date_key,product_key,source_location_key,dest_location_key,transfer_qty,transfer_cost
226,TRF-000226,20250912,363,7,2,110,278.56
227,TRF-000227,20251110,11,4,3,42,47.95
228,TRF-000228,20250910,507,3,7,29,14.75
229,TRF-000229,20250925,678,2,8,50,80.32
230,TRF-000230,20251222,650,6,7,67,50.96
231,TRF-000231,20251014,500,2,5,116,129.07
232,TRF-000232,20250930,416,10,7,74,145.99
233,TRF-000233,20251229,425,3,4,6,13.73
234,TRF-000234,20251024,389,6,3,106,278.75
235,TRF-000235,20251017,689,9,10,113,148.69
236,TRF-000236,20250930,138,2,10,96,237.12
237,TRF-000237,20251110,477,1,6,65,161.67
238,TRF-000238,20251212,206,5,1,55,128.3
239,TRF-000239,20251016,526,7,10,52,32.03
240,TRF-000240,20251002,386,2,4,28,27.29
241,TRF-000241,20251126,769,10,8,72,198.02
242,TRF-000242,20251010,779,2,4,19,18.65
243,TRF-000243,20250913,422,7,6,55,125.83
244,TRF-000244,20251107,373,10,7,73,61.55
245,TRF-000245,20251124,749,3,5,70,74.88
246,TRF-000246,20250906,508,7,2,118,132.53
247,TRF-000247,20250911,6,3,8,54,110.75
248,TRF-000248,20251216,19,8,10,7,17.49
249,TRF-000249,20251021,94,6,8,8,20.43
250,TRF-000250,20251228,382,6,8,24,42.5
251,TRF-000251,20250905,175,9,6,13,26.91
252,TRF-000252,20251219,736,3,10,55,36.57
253,TRF-000253,20250908,659,9,3,61,97.49
254,TRF-000254,20250916,176,5,2,16,30.86
255,TRF-000255,20251214,438,8,5,53,114.41
256,TRF-000256,20251025,667,9,3,32,33.12
257,TRF-000257,20251002,389,6,10,47,105.56
258,TRF-000258,20251127,137,9,2,112,158.38
259,TRF-000259,20251110,89,7,4,58,119.62
260,TRF-000260,20251128,635,8,3,21,28.76
261,TRF-000261,20251223,283,6,8,71,87.71
262,TRF-000262,20250917,139,3,10,39,46.92
263,TRF-000263,20250912,353,5,6,8,14.69
264,TRF-000264,20251030,529,6,9,118,209.81
265,TRF-000265,20251021,608,10,1,54,53.36
266,TRF-000266,20250927,333,1,2,83,41.8
267,TRF-000267,20251231,381,1,6,83,227.58
268,TRF-000268,20251209,79,5,3,73,163.58
269,TRF-000269,20251024,64,5,3,69,177.39
270,TRF-000270,20250921,410,1,10,42,99.06
271,TRF-000271,20251223,713,2,5,73,51.42
272,TRF-000272,20251108,709,5,7,22,50.16
273,TRF-000273,20250905,50,10,8,106,55.82
274,TRF-000274,20251006,451,5,1,18,45.14
275,TRF-000275,20251013,469,9,5,95,111.34
276,TRF-000276,20251008,392,3,10,57,34.7
277,TRF-000277,20251229,393,6,4,93,187.27
278,TRF-000278,20251003,91,3,4,103,293.8
279,TRF-000279,20250906,356,2,9,115,336.12
280,TRF-000280,20251020,375,4,2,31,53.68
281,TRF-000281,20250929,583,7,10,100,185.5
282,TRF-000282,20251111,564,10,7,75,47.65
283,TRF-000283,20251012,469,8,2,83,54.81
284,TRF-000284,20250918,487,2,3,84,173.16
285,TRF-000285,20251228,379,7,5,85,81.2
286,TRF-000286,20251105,103,1,6,111,288.55
287,TRF-000287,20250925,600,10,1,85,91.93
288,TRF-000288,20251017,175,6,3,64,106.14
289,TRF-000289,20251225,442,7,4,73,40.75
290,TRF-000290,20251025,471,2,3,110,314.84
291,TRF-000291,20250923,652,10,9,115,258.71
292,TRF-000292,20251009,400,3,9,82,89.53
293,TRF-000293,20251103,412,9,7,94,52.09
294,TRF-000294,20251224,149,6,2,96,73.84
295,TRF-000295,20251007,399,2,5,104,102.5
296,TRF-000296,20251029,219,2,9,24,63.16
297,TRF-000297,20250920,180,9,3,40,82.39
298,TRF-000298,20250911,664,3,2,58,135.89
299,TRF-000299,20251212,337,8,9,38,110.15
300,TRF-000300,20251125,192,9,4,8,12.51
301,TRF-000301,20251219,397,9,8,69,130.48
302,TRF-000302,20250930,43,10,9,10,14.41
303,TRF-000303,20251027,253,8,10,105,177.89
304,TRF-000304,20251026,489,3,8,75,129.71
305,TRF-000305,20251114,515,3,7,32,62.28
306,TRF-000306,20251115,188,3,6,62,117.21
307,TRF-000307,20250928,375,10,1,18,44.95
308,TRF-000308,20251008,279,1,9,78,213.41
309,TRF-000309,20251123,264,8,6,75,189.28
310,TRF-000310,20251102,151,7,8,66,123.84
311,TRF-000311,20251118,67,10,7,97,192.97
312,TRF-000312,20250908,503,6,2,25,47.75
313,TRF-000313,20251001,194,9,2,68,191.38
314,TRF-000314,20251203,90,2,3,110,227.92
315,TRF-000315,20250919,95,7,9,53,149.77
316,TRF-000316,20251126,685,10,2,65,34.07
317,TRF-000317,20251226,719,9,3,117,331.55
318,TRF-000318,20250910,345,10,2,113,251.29
319,TRF-000319,20251201,426,5,2,82,125.45
320,TRF-000320,20251002,78,1,5,108,258.67
321,TRF-000321,20250921,678,7,4,86,78.51
322,TRF-000322,20251008,290,5,10,46,49.72
323,TRF-000323,20251215,779,3,4,100,74.56
324,TRF-000324,20250926,659,5,4,31,18.84
325,TRF-000325,20250926,418,1,8,90,150.8
326,TRF-000326,20250911,104,4,10,103,93.82
327,TRF-000327,20251210,553,5,2,47,71.35
328,TRF-000328,20251203,582,10,1,111,316.84
329,TRF-000329,20251221,742,10,8,57,39.36
330,TRF-000330,20251001,107,7,8,8,21.82
331,TRF-000331,20251228,53,10,5,76,80.4
332,TRF-000332,20250927,268,8,1,114,182.6
333,TRF-000333,20251102,66,4,2,56,66.24
334,TRF-000334,20251212,282,10,3,5,5.98
335,TRF-000335,20251124,101,10,3,71,61.01
336,TRF-000336,20251210,460,4,1,76,170.1
337,TRF-000337,20251224,292,8,9,99,77.51
338,TRF-000338,20251210,82,7,8,71,146.27
339,TRF-000339,20251223,94,8,7,111,144.84
340,TRF-000340,20251118,606,3,5,89,194.52
341,TRF-000341,20251104,682,2,9,34,89.76
342,TRF-000342,20251211,724,9,10,73,139.91
343,TRF-000343,20251224,781,7,8,94,155.86
344,TRF-000344,20251011,453,2,8,112,303.54
345,TRF-000345,20251216,177,9,10,6,13.83
346,TRF-000346,20251128,47,1,8,12,27.11
347,TRF-000347,20251004,247,4,3,10,6.73
348,TRF-000348,20251108,81,10,1,111,277.27
349,TRF-000349,20251023,595,2,4,29,80.17
350,TRF-000350,20251127,774,7,2,115,293.7
351,TRF-000351,20250930,324,8,4,70,156.22
352,TRF-000352,20251219,48,8,4,38,55.97
353,TRF-000353,20251020,213,9,5,63,158.73
354,TRF-000354,20251012,557,10,2,118,157.56
355,TRF-000355,20250923,468,3,2,74,79.73
356,TRF-000356,20251204,797,8,6,94,209.73
357,TRF-000357,20251107,117,5,3,89,193.48
358,TRF-000358,20251026,432,1,8,66,151.27
359,TRF-000359,20251004,540,1,3,87,191.91
360,TRF-000360,20251220,352,7,2,119,300.36
361,TRF-000361,20251019,716,6,7,30,57.38
362,TRF-000362,20250916,751,5,4,83,244.35
363,TRF-000363,20251112,153,3,4,78,42.28
364,TRF-000364,20251019,226,10,8,13,30.82
365,TRF-000365,20250913,300,6,9,18,13.35
366,TRF-000366,20250925,50,9,4,61,87.17
367,TRF-000367,20251008,410,3,8,66,157.66
368,TRF-000368,20251122,309,5,7,71,166.85
369,TRF-000369,20251125,195,6,8,9,26.58
370,TRF-000370,20251125,166,9,5,69,205.6
371,TRF-000371,20251004,373,3,4,78,75.51
372,TRF-000372,20251115,17,5,2,98,226.86
373,TRF-000373,20251212,476,7,6,82,62.16
374,TRF-000374,20251213,468,4,8,66,151.81
375,TRF-000375,20250915,224,9,10,48,91.18
376,TRF-000376,20251112,414,4,1,91,266.08
377,TRF-000377,20250913,215,5,6,10,27.82
378,TRF-000378,20251112,158,9,10,117,126.29
379,TRF-000379,20251005,630,4,5,29,72.44
380,TRF-000380,20251212,47,8,1,89,207.07
381,TRF-000381,20251119,216,8,5,17,32.28
382,TRF-000382,20251201,547,10,4,101,249.24
383,TRF-000383,20251125,552,2,1,38,63.69
384,TRF-000384,20251024,472,10,1,81,68.42
385,TRF-000385,20251117,449,2,7,67,90.26
386,TRF-000386,20251024,452,9,10,11,15.46
387,TRF-000387,20251129,386,8,7,108,179.29
388,TRF-000388,20251112,316,8,5,99,80.47
389,TRF-000389,20251010,345,7,10,21,39.71
390,TRF-000390,20250925,205,5,10,37,97.68
391,TRF-000391,20251114,576,3,2,51,137.89
392,TRF-000392,20251120,446,3,5,75,169.13
393,TRF-000393,20251116,165,4,6,62,31.71
394,TRF-000394,20251112,545,7,5,82,55.36
395,TRF-000395,20251103,228,2,9,33,23.94
396,TRF-000396,20251105,514,1,3,93,236.04
397,TRF-000397,20251219,253,4,3,36,74.49
398,TRF-000398,20251225,248,6,7,17,45.71
399,TRF-000399,20251018,277,8,4,69,69.02
400,TRF-000400,20251107,453,9,4,8,14.27
401,TRF-000401,20250919,538,4,7,36,90.43
402,TRF-000402,20250913,151,6,9,67,104.56
403,TRF-000403,20250908,38,2,3,17,38.52
404,TRF-000404,20251107,174,7,5,49,57.11
405,TRF-000405,20250916,31,8,6,10,7.06
406,TRF-000406,20251128,705,9,2,76,207.57
407,TRF-000407,20250911,340,5,6,20,35.3
408,TRF-000408,20251014,234,7,2,47,25.45
409,TRF-000409,20251225,760,5,7,93,184.59
410,TRF-000410,20251219,130,9,7,101,115.53
411,TRF-000411,20251227,306,10,3,91,100.31
412,TRF-000412,20251129,452,6,8,86,245.27
413,TRF-000413,20251126,451,5,8,12,25.87
414,TRF-000414,20250919,72,5,2,22,61.72
415,TRF-000415,20250928,658,6,1,24,25.38
416,TRF-000416,20251014,575,2,4,68,136.25
417,TRF-000417,20251004,336,5,7,27,26.97
418,TRF-000418,20250929,648,4,5,74,220.21
419,TRF-000419,20251113,363,9,10,29,86.06
420,TRF-000420,20250903,611,4,1,14,21.66
421,TRF-000421,20251004,460,3,5,7,6.85
422,TRF-000422,20251118,602,4,10,24,20.15
423,TRF-000423,20250917,172,9,5,53,108.05
424,TRF-000424,20251103,487,9,7,84,110.97
425,TRF-000425,20250926,25,5,10,92,218.48
426,TRF-000426,20251218,790,10,9,40,110.55
427,TRF-000427,20251124,471,6,3,97,211.14
428,TRF-000428,20250919,601,5,3,80,62.58
429,TRF-000429,20251219,116,2,7,24,53.49
430,TRF-000430,20251020,730,5,7,107,69.39
431,TRF-000431,20250903,484,9,8,118,275.37
432,TRF-000432,20250925,75,9,10,112,284.18
433,TRF-000433,20251006,89,1,7,109,164.69
434,TRF-000434,20250916,254,9,1,28,32.97
435,TRF-000435,20251013,162,6,10,43,125.34
436,TRF-000436,20251210,479,5,3,5,7.8
437,TRF-000437,20251219,747,9,2,92,90.45
438,TRF-000438,20251001,100,1,8,81,72.98
439,TRF-000439,20251214,276,1,9,43,55.73
440,TRF-000440,20250920,523,2,10,119,312.32
441,TRF-000441,20251104,262,7,2,92,175.25
442,TRF-000442,20251010,113,7,6,112,87.99
443,TRF-000443,20250914,234,9,10,48,132.42
444,TRF-000444,20250920,167,4,5,37,79.67
445,TRF-000445,20250920,176,3,4,50,69.86
446,TRF-000446,20251230,209,7,8,15,42.51
447,TRF-000447,20251219,42,8,10,107,203.72
448,TRF-000448,20250903,224,6,7,35,92.18
449,TRF-000449,20251221,570,10,5,6,15.84
450,TRF-000450,20251217,234,10,6,23,57.31
451,TRF-000451,20251205,268,2,9,60,157.21
452,TRF-000452,20251119,638,3,10,76,143.56
453,TRF-000453,20251124,308,7,1,86,108.11
454,TRF-000454,20250906,26,9,7,5,5.08
455,TRF-000455,20250908,276,6,2,9,26.35
456,TRF-000456,20251008,356,8,9,35,20.95
457,TRF-000457,20251007,230,9,10,33,76.11
458,TRF-000458,20251214,796,3,9,13,28.3
459,TRF-000459,20251118,773,3,4,112,282.36
460,TRF-000460,20251128,597,10,2,21,24.82
461,TRF-000461,20251029,438,2,7,41,63.47
462,TRF-000462,20251211,398,4,7,117,281.56
463,TRF-000463,20251029,524,10,9,95,143.16
464,TRF-000464,20251230,591,3,8,26,49.14
465,TRF-000465,20250906,591,9,2,37,106.38
466,TRF-000466,20251107,271,1,5,45,58.25
467,TRF-000467,20251218,399,6,4,68,95.03
468,TRF-000468,20251031,216,7,9,55,72.22
469,TRF-000469,20251203,29,1,5,109,319.38
470,TRF-000470,20251125,2,7,10,28,39.8
471,TRF-000471,20251008,647,1,2,113,250.11
472,TRF-000472,20251128,67,8,9,33,89.16
473,TRF-000473,20251003,91,5,2,52,73.01
474,TRF-000474,20250919,676,3,4,105,312.28
475,TRF-000475,20250921,494,2,10,6,17.35
476,TRF-000476,20251001,485,9,2,83,128.56
477,TRF-000477,20250922,401,8,9,92,266.31
478,TRF-000478,20251221,261,5,9,71,92.4
479,TRF-000479,20251212,657,6,8,55,92.54
480,TRF-000480,20251106,370,7,2,77,148.9
481,TRF-000481,20250909,799,2,4,65,130.77
482,TRF-000482,20251111,689,7,8,49,114.21
483,TRF-000483,20250908,233,6,10,101,273.06
484,TRF-000484,20251028,684,10,7,80,92.1
485,TRF-000485,20251027,574,8,9,95,262.71
486,TRF-000486,20251105,519,2,7,41,87.98
487,TRF-000487,20251018,785,1,2,87,98.46
488,TRF-000488,20250930,732,7,10,30,31.01
489,TRF-000489,20250926,198,2,4,68,169.98
490,TRF-000490,20251014,382,5,6,39,61.31
491,TRF-000491,20251027,683,9,10,22,62.3
492,TRF-000492,20250917,86,10,4,57,87.95
493,TRF-000493,20251211,304,5,6,24,16.21
494,TRF-000494,20251118,471,1,7,116,61.82
495,TRF-000495,20251003,393,5,6,9,22.31
496,TRF-000496,20251209,172,2,10,58,111.98
497,TRF-000497,20251229,137,4,8,58,65.0
498,TRF-000498,20250909,103,3,4,40,115.34
499,TRF-000499,20251201,270,7,3,62,167.45
500,TRF-000500,20251122,384,4,1,15,23.12
