sales_key,date_key,product_key,location_key,units_sold_qty,unit_price,gross_sales_amount,unit_cost,cogs_amount,order_id,employee_key,customer_key,promotion_key,discount_amount,net_sales_amount,gross_margin_amount
40,20251212,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251212-4,54,670,,0.0,119.0,62.21
41,20251217,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251217-5,77,80,,0.0,119.0,62.21
42,20251218,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251218-6,68,1799,3,0.0,119.0,62.21
43,20251220,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251220-0,115,306,4,0.0,119.0,62.21
44,20251221,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251221-1,25,1031,6,0.0,119.0,62.21
45,20251223,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251223-2,78,536,,0.0,119.0,62.21
46,20251224,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251224-3,69,1281,7,0.0,119.0,62.21
47,20251225,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251225-4,54,735,7,0.0,238.0,124.42
48,20251226,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251226-5,97,902,9,0.0,238.0,124.42
49,20251227,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251227-6,105,1211,5,0.0,119.0,62.21
50,20251229,1,4,2,119.0,238.0,56.79,113.58,ORD-4-20251229-0,115,941,,0.0,238.0,124.42
51,20251230,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251230-1,70,91,11,0.0,119.0,62.21
52,20251231,1,4,1,119.0,119.0,56.79,56.79,ORD-4-20251231-2,75,1574,,0.0,119.0,62.21
53,20250903,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250903-3,78,236,7,0.0,119.0,62.21
54,20250904,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250904-4,119,1573,1,0.0,119.0,62.21
55,20250905,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250905-5,19,1645,8,0.0,119.0,62.21
56,20250907,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250907-6,99,1163,4,0.0,119.0,62.21
57,20250912,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250912-0,117,553,11,0.0,119.0,62.21
58,20250913,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250913-1,75,1440,,0.0,119.0,62.21
59,20250914,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250914-2,81,34,11,0.0,119.0,62.21
60,20250915,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250915-3,84,11,6,0.0,119.0,62.21
61,20250916,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250916-4,120,515,11,0.0,119.0,62.21
62,20250918,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250918-5,89,1915,12,0.0,119.0,62.21
63,20250919,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250919-6,92,113,6,0.0,119.0,62.21
64,20250922,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250922-0,99,639,10,0.0,119.0,62.21
65,20250929,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20250929-1,93,235,12,0.0,119.0,62.21
66,20251006,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251006-2,79,136,5,0.0,119.0,62.21
67,20251014,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251014-3,63,1419,2,0.0,119.0,62.21
68,20251018,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251018-4,2,1469,,0.0,119.0,62.21
69,20251020,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251020-5,25,344,,0.0,119.0,62.21
70,20251023,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251023-6,14,132,1,0.0,119.0,62.21
71,20251026,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251026-0,4,1522,5,0.0,119.0,62.21
72,20251031,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251031-1,39,364,5,0.0,119.0,62.21
73,20251101,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251101-2,38,959,,0.0,238.0,124.42
74,20251102,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251102-3,21,1714,8,0.0,119.0,62.21
75,20251105,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251105-4,22,1076,3,0.0,238.0,124.42
76,20251108,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251108-5,7,76,8,0.0,238.0,124.42
77,20251109,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251109-6,64,1357,,0.0,119.0,62.21
78,20251110,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251110-0,11,1633,,0.0,119.0,62.21
79,20251111,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251111-1,51,963,,0.0,238.0,124.42
80,20251113,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251113-2,96,1240,9,0.0,119.0,62.21
81,20251115,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251115-3,65,975,11,0.0,119.0,62.21
82,20251117,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251117-4,43,1149,,0.0,238.0,124.42
83,20251122,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251122-5,114,1158,6,0.0,119.0,62.21
84,20251123,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251123-6,39,166,,0.0,119.0,62.21
85,20251126,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251126-0,85,809,4,0.0,119.0,62.21
86,20251127,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251127-1,46,598,,0.0,119.0,62.21
87,20251128,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251128-2,71,1867,11,0.0,119.0,62.21
88,20251130,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251130-3,18,1715,5,0.0,119.0,62.21
89,20251201,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251201-4,113,212,10,0.0,119.0,62.21
90,20251202,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251202-5,87,1892,1,0.0,238.0,124.42
91,20251203,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251203-6,20,294,,0.0,238.0,124.42
92,20251206,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251206-0,18,1958,3,0.0,119.0,62.21
93,20251207,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251207-1,32,469,3,0.0,119.0,62.21
94,20251208,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251208-2,109,1933,,0.0,119.0,62.21
95,20251211,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251211-3,39,663,1,0.0,119.0,62.21
96,20251212,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251212-4,5,1850,6,0.0,119.0,62.21
97,20251213,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251213-5,31,735,,0.0,119.0,62.21
98,20251217,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251217-6,73,1266,4,0.0,238.0,124.42
99,20251218,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251218-0,58,1041,7,0.0,119.0,62.21
100,20251219,1,6,1,,119.0,56.79,56.79,ORD-6-20251219-1,36,22,3,0.0,119.0,62.21
101,20251220,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251220-2,27,1467,1,0.0,238.0,124.42
102,20251222,1,6,3,119.0,357.0,56.79,170.37,ORD-6-20251222-3,73,1462,11,0.0,357.0,186.63
103,20251223,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251223-4,89,889,3,0.0,119.0,62.21
104,20251224,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251224-5,61,1318,10,0.0,119.0,62.21
105,20251229,1,6,2,119.0,238.0,56.79,113.58,ORD-6-20251229-6,61,1712,3,0.0,238.0,124.42
106,20251230,1,6,1,119.0,119.0,56.79,56.79,ORD-6-20251230-0,47,1270,7,0.0,119.0,62.21
107,20251016,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251016-1,49,1198,9,0.0,291.73,121.58
108,20251019,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251019-2,90,938,5,0.0,291.73,121.58
109,20251102,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251102-3,36,52,,0.0,291.73,121.58
110,20251108,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251108-4,4,779,8,0.0,291.73,121.58
111,20251109,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251109-5,100,303,8,0.0,291.73,121.58
112,20251111,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251111-6,79,792,11,0.0,291.73,121.58
113,20251114,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251114-0,73,1290,9,0.0,291.73,121.58
114,20251129,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251129-1,61,156,,0.0,291.73,121.58
115,20251207,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251207-2,27,753,1,0.0,291.73,121.58
116,20251208,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251208-3,13,313,9,0.0,291.73,121.58
117,20251209,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251209-4,3,593,12,0.0,291.73,121.58
118,20251210,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251210-5,116,1583,12,0.0,291.73,121.58
119,20251215,3,8,1,,291.73,170.15,170.15,ORD-8-20251215-6,108,617,6,0.0,291.73,121.58
120,20251219,3,8,1,291.73,291.73,170.15,170.15,ORD-8-20251219-0,110,1043,1,0.0,291.73,121.58
121,20251230,3,8,2,291.73,583.46,170.15,340.3,ORD-8-20251230-1,89,1077,,0.0,583.46,243.16
122,20250903,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20250903-2,86,37,,0.0,291.73,121.58
123,20250905,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20250905-3,23,34,,0.0,583.46,243.16
124,20250914,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20250914-4,107,554,6,0.0,291.73,121.58
125,20250917,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20250917-5,43,1171,5,0.0,291.73,121.58
126,20250918,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20250918-6,6,1920,1,0.0,583.46,243.16
127,20250919,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20250919-0,115,1651,,0.0,291.73,121.58
128,20250920,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20250920-1,46,847,10,0.0,583.46,243.16
129,20250925,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20250925-2,110,597,,0.0,291.73,121.58
130,20250927,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20250927-3,18,1731,,0.0,291.73,121.58
131,20251010,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251010-4,56,1783,2,0.0,291.73,121.58
132,20251012,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251012-5,91,1611,12,0.0,291.73,121.58
133,20251013,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251013-6,79,983,8,0.0,291.73,121.58
134,20251015,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20251015-0,69,973,9,0.0,583.46,243.16
135,20251018,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251018-1,14,1029,,0.0,291.73,121.58
136,20251031,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251031-2,77,1661,,0.0,291.73,121.58
137,20251101,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251101-3,59,271,,0.0,291.73,121.58
138,20251102,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251102-4,53,1454,11,0.0,291.73,121.58
139,20251115,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251115-5,60,239,1,0.0,291.73,121.58
140,20251122,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20251122-6,86,618,,0.0,583.46,243.16
141,20251124,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251124-0,61,799,7,0.0,291.73,121.58
142,20251127,3,10,3,291.73,875.19,170.15,510.45,ORD-10-20251127-1,104,1310,1,0.0,875.19,364.74
143,20251128,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251128-2,112,762,1,0.0,291.73,121.58
144,20251130,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20251130-3,18,1429,12,0.0,583.46,243.16
145,20251205,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251205-4,64,338,12,0.0,291.73,121.58
146,20251206,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251206-5,57,212,5,0.0,291.73,121.58
147,20251210,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251210-6,57,6,10,0.0,291.73,121.58
148,20251212,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251212-0,49,120,,0.0,291.73,121.58
149,20251213,3,10,3,291.73,875.19,170.15,510.45,ORD-10-20251213-1,112,80,,0.0,875.19,364.74
150,20251214,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251214-2,67,858,4,0.0,291.73,121.58
151,20251216,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251216-3,115,1942,5,0.0,291.73,121.58
152,20251217,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251217-4,112,1999,7,0.0,291.73,121.58
153,20251220,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251220-5,20,684,12,0.0,291.73,121.58
154,20251221,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251221-6,4,1609,9,0.0,291.73,121.58
155,20251222,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251222-0,88,1,11,0.0,291.73,121.58
156,20251224,3,10,1,,291.73,170.15,170.15,ORD-10-20251224-1,40,1261,7,0.0,291.73,121.58
157,20251226,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20251226-2,39,1714,7,0.0,583.46,243.16
158,20251227,3,10,2,291.73,583.46,170.15,340.3,ORD-10-20251227-3,8,1390,,0.0,583.46,243.16
159,20251228,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251228-4,50,692,1,0.0,291.73,121.58
160,20251229,3,10,1,291.73,291.73,170.15,170.15,ORD-10-20251229-5,84,559,9,0.0,291.73,121.58
161,20251003,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251003-6,27,92,2,0.0,291.73,121.58
162,20251005,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251005-0,51,555,4,0.0,291.73,121.58
163,20251010,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251010-1,16,1132,8,0.0,291.73,121.58
164,20251025,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251025-2,40,284,,0.0,291.73,121.58
165,20251026,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251026-3,65,82,,0.0,291.73,121.58
166,20251103,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251103-4,70,603,9,0.0,291.73,121.58
167,20251120,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251120-5,82,1041,11,0.0,291.73,121.58
168,20251205,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251205-6,67,1695,1,0.0,291.73,121.58
169,20251206,3,7,2,291.73,583.46,170.15,340.3,ORD-7-20251206-0,116,1343,4,0.0,583.46,243.16
170,20251225,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251225-1,95,957,10,0.0,291.73,121.58
171,20251226,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251226-2,72,1000,10,0.0,291.73,121.58
172,20251230,3,7,1,291.73,291.73,170.15,170.15,ORD-7-20251230-3,44,748,,0.0,291.73,121.58
173,20250903,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20250903-4,86,1894,9,0.0,291.73,121.58
174,20250905,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20250905-5,77,1193,,0.0,291.73,121.58
175,20250909,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20250909-6,72,1754,5,0.0,291.73,121.58
176,20250922,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20250922-0,3,1983,,0.0,291.73,121.58
177,20251011,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251011-1,106,1209,2,0.0,291.73,121.58
178,20251016,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251016-2,72,739,,0.0,291.73,121.58
179,20251018,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251018-3,47,133,6,0.0,291.73,121.58
180,20251022,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251022-4,34,1023,3,0.0,291.73,121.58
181,20251026,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251026-5,77,1858,2,0.0,291.73,121.58
182,20251030,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251030-6,5,384,6,0.0,291.73,121.58
183,20251104,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251104-0,90,1120,5,0.0,291.73,121.58
184,20251118,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251118-1,1,1876,2,0.0,291.73,121.58
185,20251124,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251124-2,69,1552,7,0.0,291.73,121.58
186,20251125,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251125-3,56,1725,11,0.0,291.73,121.58
187,20251210,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251210-4,84,1955,,0.0,291.73,121.58
188,20251212,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251212-5,55,975,,0.0,291.73,121.58
189,20251221,3,1,1,291.73,291.73,170.15,170.15,ORD-1-20251221-6,113,306,1,0.0,291.73,121.58
190,20250926,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20250926-0,83,1739,,0.0,291.73,121.58
191,20251022,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251022-1,103,1078,12,0.0,291.73,121.58
192,20251026,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251026-2,2,1171,2,0.0,291.73,121.58
193,20251031,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251031-3,74,555,,0.0,291.73,121.58
194,20251101,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251101-4,4,93,2,0.0,291.73,121.58
195,20251113,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251113-5,14,1606,,0.0,291.73,121.58
196,20251114,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251114-6,114,1534,1,0.0,291.73,121.58
197,20251121,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251121-0,62,965,2,0.0,291.73,121.58
198,20251123,3,2,2,291.73,583.46,170.15,340.3,ORD-2-20251123-1,46,791,6,0.0,583.46,243.16
199,20251125,3,2,1,291.73,291.73,170.15,170.15,ORD-2-20251125-2,26,717,10,0.0,291.73,121.58
200,20251214,3,2,2,291.73,583.46,170.15,340.3,ORD-2-20251214-3,102,473,2,0.0,583.46,243.16
201,20251218,3,2,2,291.73,583.46,170.15,340.3,ORD-2-20251218-4,18,818,,0.0,583.46,243.16
202,20250907,3,6,2,291.73,583.46,170.15,340.3,ORD-6-20250907-5,85,1619,,0.0,583.46,243.16
203,20250916,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20250916-6,118,1579,6,0.0,291.73,121.58
204,20250921,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20250921-0,99,354,12,0.0,291.73,121.58
205,20251003,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251003-1,102,1476,5,0.0,291.73,121.58
206,20251004,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251004-2,81,848,,0.0,291.73,121.58
207,20251104,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251104-3,8,144,10,0.0,291.73,121.58
208,20251121,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251121-4,69,604,11,0.0,291.73,121.58
209,20251128,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251128-5,117,818,,0.0,291.73,121.58
210,20251130,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251130-6,38,807,5,0.0,291.73,121.58
211,20251204,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251204-0,36,505,8,0.0,291.73,121.58
212,20251213,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251213-1,106,1024,11,0.0,291.73,121.58
213,20251221,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251221-2,107,1018,,0.0,291.73,121.58
214,20251228,3,6,1,291.73,291.73,170.15,170.15,ORD-6-20251228-3,55,1292,11,0.0,291.73,121.58
215,20250905,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20250905-4,22,1558,,0.0,157.3,73.14
216,20250907,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20250907-5,12,540,2,0.0,157.3,73.14
217,20250912,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20250912-6,14,210,6,0.0,157.3,73.14
218,20250914,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20250914-0,104,178,8,0.0,157.3,73.14
219,20250915,4,2,2,157.3,314.6,84.16,168.32,ORD-2-20250915-1,79,1238,2,0.0,314.6,146.28
220,20250917,4,2,2,157.3,314.6,84.16,168.32,ORD-2-20250917-2,26,1529,,0.0,314.6,146.28
221,20250929,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20250929-3,53,827,7,0.0,157.3,73.14
222,20251007,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251007-4,95,1498,3,0.0,157.3,73.14
223,20251010,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251010-5,8,1610,,0.0,157.3,73.14
224,20251012,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251012-6,28,343,7,0.0,157.3,73.14
225,20251014,4,2,2,157.3,314.6,84.16,168.32,ORD-2-20251014-0,102,906,5,0.0,314.6,146.28
226,20251017,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251017-1,18,438,4,0.0,157.3,73.14
227,20251018,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251018-2,19,1419,12,0.0,157.3,73.14
228,20251022,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251022-3,60,1120,4,0.0,157.3,73.14
229,20251102,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251102-4,49,228,3,0.0,157.3,73.14
230,20251103,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251103-5,62,1315,,0.0,157.3,73.14
231,20251106,4,2,2,157.3,314.6,84.16,168.32,ORD-2-20251106-6,2,82,6,0.0,314.6,146.28
232,20251109,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251109-0,79,1978,11,0.0,157.3,73.14
233,20251110,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251110-1,23,235,,0.0,157.3,73.14
234,20251113,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251113-2,83,772,,0.0,157.3,73.14
235,20251115,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251115-3,9,1758,,0.0,157.3,73.14
236,20251116,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251116-4,87,742,12,0.0,157.3,73.14
237,20251202,4,2,1,157.3,157.3,84.16,84.16,ORD-2-20251202-5,55,862,9,0.0,157.3,73.14
