product_key,sku,product_name,category,subcategory,brand,unit_cost,unit_price,standard_margin_pct,xyz_class,launch_date,discontinue_date,is_active,abc_class
57,SKU-000057,Beverages Item 57,Grocery,Beverages,Brand-097,186.87,445.97,58.1,X,,,True,A
58,SKU-000058,Audio Item 58,Electronics,Audio,Brand-142,51.24,99.96,48.74,X,,,True,C
59,SKU-000059,Bedding Item 59,Pet Supplies,Bedding,Brand-287,12.54,24.42,48.65,Y,,,True,B
60,SKU-000060,Accessories Item 60,Pet Supplies,Accessories,Brand-129,191.03,310.84,38.54,Y,,,True,C
61,SKU-000061,Toys Item 61,Baby & Nursery,Toys,Brand-263,68.32,119.55,42.85,Y,,,True,B
62,SKU-000062,Accessories Item 62,Pet Supplies,Accessories,Brand-359,136.73,338.14,59.56,Y,,,True,A
63,SKU-000063,Fitness Item 63,Sports & Outdoors,Fitness,Brand-378,167.55,363.71,53.93,X,,,True,C
64,SKU-000064,Clothing Item 64,Baby & Nursery,Clothing,Brand-225,29.53,54.47,45.79,Y,,,True,C
65,SKU-000065,Apparel Item 65,Sports & Outdoors,Apparel,Brand-285,172.11,285.56,39.73,Z,,,True,B
66,SKU-000066,Fragrance Item 66,Health & Beauty,Fragrance,Brand-367,206.56,283.02,27.02,Z,,,True,B
67,SKU-000067,Storage Item 67,Garden & DIY,Storage,Brand-314,160.65,231.89,30.72,Y,,,True,B
68,SKU-000068,Apparel Item 68,Sports & Outdoors,Apparel,Brand-120,97.91,145.53,32.72,Y,,,True,B
69,SKU-000069,Small Appliances Item 69,Home & Kitchen,Small Appliances,Brand-053,193.05,321.4,39.94,X,,,True,A
70,SKU-000070,Board Games Item 70,Toys & Games,Board Games,Brand-046,116.75,313.56,62.77,X,,,True,A
71,SKU-000071,Tools Item 71,Automotive,Tools,Brand-352,164.23,299.72,45.21,Z,,,True,A
72,SKU-000072,Womenswear Item 72,Apparel,Womenswear,Brand-222,180.78,275.55,34.39,X,,,True,B
73,SKU-000073,Board Games Item 73,Toys & Games,Board Games,Brand-119,165.23,233.47,29.23,Y,,,True,A
74,SKU-000074,Audio Item 74,Electronics,Audio,Brand-138,64.4,104.77,38.53,Y,,,True,C
75,SKU-000075,Bedding Item 75,Pet Supplies,Bedding,Brand-113,27.25,64.31,57.63,X,,,True,C
76,SKU-000076,Outdoor Play Item 76,Toys & Games,Outdoor Play,Brand-320,53.58,89.8,40.33,X,,,True,C
77,SKU-000077,Wellness Item 77,Health & Beauty,Wellness,Brand-245,111.38,252.56,55.9,Y,,,True,A
78,SKU-000078,Footwear Item 78,Apparel,Footwear,Brand-351,111.9,260.89,57.11,Z,,,True,B
79,SKU-000079,Pantry Item 79,Grocery,Pantry,Brand-121,128.81,182.54,29.43,Y,,,False,C
80,SKU-000080,Bedding Item 80,Pet Supplies,Bedding,Brand-189,87.83,173.39,49.35,Y,,,True,B
81,SKU-000081,Feeding Item 81,Baby & Nursery,Feeding,Brand-049,173.44,473.41,63.36,X,,,True,A
82,SKU-000082,Plush Item 82,Toys & Games,Plush,Brand-388,201.02,341.21,41.09,Y,,,True,B
83,SKU-000083,Smart Home Item 83,Electronics,Smart Home,Brand-205,55.41,75.94,27.04,X,,,True,B
84,SKU-000084,Care Item 84,Automotive,Care,Brand-221,162.43,426.69,61.93,Y,,,True,A
85,SKU-000085,Printing Item 85,Office & Stationery,Printing,Brand-166,149.64,377.37,60.35,Z,,,True,B
86,SKU-000086,Bedding Item 86,Pet Supplies,Bedding,Brand-109,115.8,213.99,45.89,Y,,,True,A
87,SKU-000087,Audio Item 87,Electronics,Audio,Brand-379,42.69,80.68,47.09,X,,,True,B
88,SKU-000088,Skincare Item 88,Health & Beauty,Skincare,Brand-196,175.26,263.43,33.47,X,,,True,A
89,SKU-000089,Care Item 89,Automotive,Care,Brand-270,211.4,500.69,57.78,X,,,True,B
90,SKU-000090,Accessories Item 90,Automotive,Accessories,Brand-015,159.22,289.2,44.94,Y,,,True,A
91,SKU-000091,Board Games Item 91,Toys & Games,Board Games,Brand-111,202.05,274.36,26.36,Z,,,True,C
92,SKU-000092,Electronics Item 92,Automotive,Electronics,Brand-321,216.54,454.16,52.32,X,,,True,C
93,SKU-000093,Furniture Item 93,Garden & DIY,Furniture,Brand-036,78.42,212.06,63.02,Y,,,True,A
94,SKU-000094,Apparel Item 94,Sports & Outdoors,Apparel,Brand-041,140.95,336.93,58.17,Y,,,True,B
95,SKU-000095,Lighting Item 95,Garden & DIY,Lighting,Brand-324,105.05,164.37,36.09,X,,,True,C
96,SKU-000096,Fragrance Item 96,Health & Beauty,Fragrance,Brand-124,217.08,297.91,27.13,X,,,True,A
97,SKU-000097,Kidswear Item 97,Apparel,Kidswear,Brand-110,22.0,58.85,62.61,Y,,,True,C
98,SKU-000098,Food Item 98,Pet Supplies,Food,Brand-226,91.6,244.15,62.48,Y,,,True,B
99,SKU-000099,Writing Item 99,Office & Stationery,Writing,Brand-078,192.81,359.03,46.3,Y,,,True,B
100,SKU-000100,Cables Item 100,Electronics,Cables,Brand-018,63.57,128.93,50.69,Z,,,True,B
101,SKU-000101,Care Item 101,Automotive,Care,Brand-002,173.63,307.33,43.5,Z,,,True,A
102,SKU-000102,Menswear Item 102,Apparel,Menswear,Brand-032,85.14,146.27,41.79,Z,,,True,C
103,SKU-000103,Accessories Item 103,Automotive,Accessories,Brand-064,215.63,307.07,29.78,Z,,,True,B
104,SKU-000104,Bedding Item 104,Home & Kitchen,Bedding,Brand-278,194.55,273.51,28.87,Z,,,True,A
105,SKU-000105,Tools Item 105,Automotive,Tools,Brand-119,67.34,102.51,34.31,Z,,,True,C
106,SKU-000106,Electronics Item 106,Automotive,Electronics,Brand-029,169.79,408.79,58.47,Z,,,True,C
107,SKU-000107,Tools Item 107,Automotive,Tools,Brand-006,75.1,108.58,30.83,Z,,,False,C
108,SKU-000108,Writing Item 108,Office & Stationery,Writing,Brand-191,133.99,203.22,34.07,Z,,,True,A
109,SKU-000109,Building Item 109,Toys & Games,Building,Brand-336,145.38,274.02,46.94,Z,,,True,B
110,SKU-000110,Food Item 110,Pet Supplies,Food,Brand-136,182.77,275.28,33.61,Y,,,True,B
111,SKU-000111,Fragrance Item 111,Health & Beauty,Fragrance,Brand-026,6.84,9.99,31.53,Y,,,False,C
112,SKU-000112,Care Item 112,Automotive,Care,Brand-092,49.6,94.53,47.53,Y,,,True,A
113,SKU-000113,Beverages Item 113,Grocery,Beverages,Brand-200,157.05,260.55,39.72,Z,,,False,C
114,SKU-000114,Plush Item 114,Toys & Games,Plush,Brand-076,124.63,249.49,50.05,Y,,,True,C
115,SKU-000115,Pantry Item 115,Grocery,Pantry,Brand-391,109.79,285.08,61.49,Z,,,True,C
116,SKU-000116,Pantry Item 116,Grocery,Pantry,Brand-305,13.56,19.66,31.04,Z,,,True,C
117,SKU-000117,Small Appliances Item 117,Home & Kitchen,Small Appliances,Brand-138,77.6,201.75,61.54,Z,,,True,A
118,SKU-000118,Cables Item 118,Electronics,Cables,Brand-380,190.52,489.76,61.1,X,,,True,A
119,SKU-000119,Womenswear Item 119,Apparel,Womenswear,Brand-130,8.25,19.72,58.16,Z,,,True,C
120,SKU-000120,Cables Item 120,Electronics,Cables,Brand-056,88.12,177.13,50.25,Z,,,True,C
121,SKU-000121,Plush Item 121,Toys & Games,Plush,Brand-375,208.01,414.41,49.81,Z,,,True,A
122,SKU-000122,Grooming Item 122,Pet Supplies,Grooming,Brand-383,12.62,25.53,50.57,Z,,,True,C
123,SKU-000123,Desk Item 123,Office & Stationery,Desk,Brand-125,165.31,348.9,52.62,Y,,,True,A
124,SKU-000124,Board Games Item 124,Toys & Games,Board Games,Brand-238,57.79,77.74,25.66,Y,,,True,C
125,SKU-000125,Planting Item 125,Garden & DIY,Planting,Brand-070,190.85,520.36,63.32,X,,,True,A
126,SKU-000126,Breakfast Item 126,Grocery,Breakfast,Brand-257,164.52,318.99,48.42,Z,,,True,A
127,SKU-000127,Small Appliances Item 127,Home & Kitchen,Small Appliances,Brand-276,195.03,445.87,56.26,X,,,True,B
128,SKU-000128,Accessories Item 128,Automotive,Accessories,Brand-284,48.68,81.26,40.09,Z,,,True,C
129,SKU-000129,Pantry Item 129,Grocery,Pantry,Brand-227,117.59,157.83,25.5,Z,,,True,B
130,SKU-000130,Desk Item 130,Office & Stationery,Desk,Brand-281,171.77,314.54,45.39,Y,,,True,C
131,SKU-000131,Pantry Item 131,Grocery,Pantry,Brand-222,55.19,100.87,45.29,X,,,True,C
132,SKU-000132,Confectionery Item 132,Grocery,Confectionery,Brand-328,51.92,90.26,42.48,X,,,True,C
133,SKU-000133,Accessories Item 133,Electronics,Accessories,Brand-072,7.44,12.12,38.59,Z,,,True,C
134,SKU-000134,Confectionery Item 134,Grocery,Confectionery,Brand-193,210.94,324.49,34.99,Y,,,True,A
135,SKU-000135,Tools Item 135,Automotive,Tools,Brand-167,156.64,290.62,46.1,X,,,True,B
136,SKU-000136,Grooming Item 136,Health & Beauty,Grooming,Brand-213,140.37,233.99,40.01,Z,,,True,A
137,SKU-000137,Writing Item 137,Office & Stationery,Writing,Brand-057,164.06,453.17,63.8,X,,,True,B
138,SKU-000138,Cookware Item 138,Home & Kitchen,Cookware,Brand-130,117.66,172.82,31.92,Z,,,False,C
139,SKU-000139,Cycling Item 139,Sports & Outdoors,Cycling,Brand-381,105.54,169.64,37.79,Y,,,True,B
140,SKU-000140,Outdoor Play Item 140,Toys & Games,Outdoor Play,Brand-042,99.72,157.68,36.76,X,,,True,C
141,SKU-000141,Clothing Item 141,Baby & Nursery,Clothing,Brand-254,141.44,265.53,46.73,X,,,True,B
142,SKU-000142,Kidswear Item 142,Apparel,Kidswear,Brand-266,45.54,82.76,44.97,Y,,,True,B
143,SKU-000143,Grooming Item 143,Health & Beauty,Grooming,Brand-190,195.54,397.03,50.75,Y,,,True,B
144,SKU-000144,Cycling Item 144,Sports & Outdoors,Cycling,Brand-014,178.87,483.43,63.0,Z,,,False,C
145,SKU-000145,Feeding Item 145,Baby & Nursery,Feeding,Brand-014,77.88,122.47,36.41,Y,,,True,A
146,SKU-000146,Tools Item 146,Garden & DIY,Tools,Brand-110,127.93,270.53,52.71,Y,,,True,A
147,SKU-000147,Bedding Item 147,Home & Kitchen,Bedding,Brand-041,32.31,43.66,26.0,X,,,True,C
148,SKU-000148,Menswear Item 148,Apparel,Menswear,Brand-038,213.96,331.7,35.5,X,,,True,A
149,SKU-000149,Fluids Item 149,Automotive,Fluids,Brand-064,198.78,352.13,43.55,Z,,,True,A
150,SKU-000150,Storage Item 150,Home & Kitchen,Storage,Brand-077,202.93,275.12,26.24,X,,,True,C
151,SKU-000151,Tools Item 151,Garden & DIY,Tools,Brand-335,74.08,147.3,49.71,Z,,,True,B
152,SKU-000152,Haircare Item 152,Health & Beauty,Haircare,Brand-255,38.46,80.35,52.13,Y,,,True,C
153,SKU-000153,Clothing Item 153,Baby & Nursery,Clothing,Brand-013,47.77,105.85,54.87,X,,,True,B
154,SKU-000154,Wellness Item 154,Health & Beauty,Wellness,Brand-251,21.17,38.96,45.66,X,,,True,C
155,SKU-000155,Educational Item 155,Toys & Games,Educational,Brand-055,27.74,54.56,49.16,X,,,True,C
156,SKU-000156,Organisation Item 156,Office & Stationery,Organisation,Brand-169,17.08,28.87,40.84,Z,,,True,A
157,SKU-000157,Smart Home Item 157,Electronics,Smart Home,Brand-016,217.78,296.91,26.65,Y,,,True,A
158,SKU-000158,Confectionery Item 158,Grocery,Confectionery,Brand-036,17.68,24.9,29.0,Y,,,True,C
159,SKU-000159,Breakfast Item 159,Grocery,Breakfast,Brand-053,30.46,62.42,51.2,Y,,,True,C
160,SKU-000160,Tools Item 160,Automotive,Tools,Brand-173,182.26,518.11,64.82,Y,,,True,A
161,SKU-000161,Feeding Item 161,Baby & Nursery,Feeding,Brand-185,128.28,172.49,25.63,Z,,,True,C
162,SKU-000162,Desk Item 162,Office & Stationery,Desk,Brand-141,170.71,323.95,47.3,Z,,,True,B
163,SKU-000163,Apparel Item 163,Sports & Outdoors,Apparel,Brand-248,139.35,309.94,55.04,Y,,,True,A
164,SKU-000164,Camping Item 164,Sports & Outdoors,Camping,Brand-288,194.26,463.31,58.07,Z,,,True,A
165,SKU-000165,Plush Item 165,Toys & Games,Plush,Brand-291,141.01,265.1,46.81,Z,,,True,A
166,SKU-000166,Tools Item 166,Automotive,Tools,Brand-232,115.58,230.22,49.8,Y,,,True,A
167,SKU-000167,Fragrance Item 167,Health & Beauty,Fragrance,Brand-218,157.24,333.62,52.87,Z,,,True,C
168,SKU-000168,Womenswear Item 168,Apparel,Womenswear,Brand-197,99.26,244.23,59.36,X,,,True,C
169,SKU-000169,Apparel Item 169,Sports & Outdoors,Apparel,Brand-095,77.11,109.99,29.89,Z,,,False,C
170,SKU-000170,Cookware Item 170,Home & Kitchen,Cookware,Brand-195,103.68,273.18,62.05,Z,,,True,A
171,SKU-000171,Accessories Item 171,Electronics,Accessories,Brand-005,38.58,52.16,26.04,X,,,True,C
172,SKU-000172,Smart Home Item 172,Electronics,Smart Home,Brand-386,175.55,422.48,58.45,Z,,,True,A
173,SKU-000173,Tools Item 173,Automotive,Tools,Brand-148,58.46,81.27,28.07,Z,,,True,B
174,SKU-000174,Grooming Item 174,Pet Supplies,Grooming,Brand-302,35.05,52.15,32.79,X,,,True,B
175,SKU-000175,Food Item 175,Pet Supplies,Food,Brand-382,55.33,73.93,25.16,Y,,,False,C
176,SKU-000176,Building Item 176,Toys & Games,Building,Brand-199,185.49,324.34,42.81,Z,,,True,C
177,SKU-000177,Food Item 177,Pet Supplies,Food,Brand-344,73.65,119.51,38.37,Z,,,True,B
178,SKU-000178,Smart Home Item 178,Electronics,Smart Home,Brand-192,151.4,221.47,31.64,X,,,True,C
179,SKU-000179,Planting Item 179,Garden & DIY,Planting,Brand-053,188.63,331.18,43.04,Y,,,True,A
180,SKU-000180,Pantry Item 180,Grocery,Pantry,Brand-011,18.49,31.39,41.09,Y,,,True,C
181,SKU-000181,Travel Item 181,Baby & Nursery,Travel,Brand-055,168.66,380.78,55.71,X,,,True,C
182,SKU-000182,Cables Item 182,Electronics,Cables,Brand-377,68.72,174.97,60.73,Y,,,True,B
183,SKU-000183,Outdoor Play Item 183,Toys & Games,Outdoor Play,Brand-190,48.83,99.86,51.1,X,,,True,B
184,SKU-000184,Bedding Item 184,Pet Supplies,Bedding,Brand-128,152.02,217.1,29.98,X,,,False,C
185,SKU-000185,Outdoor Play Item 185,Toys & Games,Outdoor Play,Brand-178,200.29,316.99,36.82,Y,,,True,C
186,SKU-000186,Educational Item 186,Toys & Games,Educational,Brand-103,65.96,171.47,61.53,Y,,,True,B
187,SKU-000187,Cables Item 187,Electronics,Cables,Brand-348,125.79,176.05,28.55,Y,,,True,B
188,SKU-000188,Camping Item 188,Sports & Outdoors,Camping,Brand-399,64.83,110.39,41.27,Z,,,False,C
189,SKU-000189,Womenswear Item 189,Apparel,Womenswear,Brand-034,122.61,328.71,62.7,Y,,,True,A
190,SKU-000190,Fragrance Item 190,Health & Beauty,Fragrance,Brand-287,137.38,371.56,63.03,X,,,True,A
191,SKU-000191,Toys Item 191,Pet Supplies,Toys,Brand-134,134.86,230.33,41.45,X,,,True,A
192,SKU-000192,Desk Item 192,Office & Stationery,Desk,Brand-019,137.74,285.15,51.7,X,,,False,C
193,SKU-000193,Writing Item 193,Office & Stationery,Writing,Brand-368,31.01,54.66,43.27,Y,,,True,C
194,SKU-000194,Cycling Item 194,Sports & Outdoors,Cycling,Brand-025,153.04,341.14,55.14,X,,,True,A
195,SKU-000195,Travel Item 195,Baby & Nursery,Travel,Brand-083,148.93,201.98,26.26,X,,,True,B
196,SKU-000196,Cables Item 196,Electronics,Cables,Brand-011,150.65,217.6,30.77,X,,,False,C
197,SKU-000197,Cycling Item 197,Sports & Outdoors,Cycling,Brand-189,17.68,35.06,49.57,Y,,,True,C
198,SKU-000198,Accessories Item 198,Electronics,Accessories,Brand-240,99.13,150.89,34.3,Y,,,True,B
199,SKU-000199,Apparel Item 199,Sports & Outdoors,Apparel,Brand-128,90.87,187.91,51.64,Z,,,True,A
200,SKU-000200,Travel Item 200,Baby & Nursery,Travel,Brand-029,20.45,33.55,39.05,Z,,,True,C
201,SKU-000201,Apparel Item 201,Sports & Outdoors,Apparel,Brand-047,50.09,126.7,60.47,Y,,,True,C
202,SKU-000202,Lighting Item 202,Garden & DIY,Lighting,Brand-373,97.85,231.71,57.77,X,,,True,C
203,SKU-000203,Outdoor Play Item 203,Toys & Games,Outdoor Play,Brand-322,163.83,296.33,44.71,Y,,,True,A
204,SKU-000204,Accessories Item 204,Pet Supplies,Accessories,Brand-374,53.3,120.91,55.92,X,,,True,C
205,SKU-000205,Board Games Item 205,Toys & Games,Board Games,Brand-212,182.8,284.94,35.85,Y,,,True,B
206,SKU-000206,Grooming Item 206,Health & Beauty,Grooming,Brand-218,120.76,218.65,44.77,Y,,,True,C
207,SKU-000207,Fluids Item 207,Automotive,Fluids,Brand-314,167.65,249.85,32.9,Y,,,True,A
208,SKU-000208,Travel Item 208,Baby & Nursery,Travel,Brand-247,104.75,258.23,59.44,X,,,True,A
209,SKU-000209,Fragrance Item 209,Health & Beauty,Fragrance,Brand-175,110.57,262.78,57.92,Y,,,True,C
210,SKU-000210,Tools Item 210,Automotive,Tools,Brand-117,136.91,351.83,61.09,Z,,,True,A
211,SKU-000211,Haircare Item 211,Health & Beauty,Haircare,Brand-194,204.26,511.92,60.1,Z,,,True,A
212,SKU-000212,Bedding Item 212,Pet Supplies,Bedding,Brand-026,108.96,297.57,63.38,Y,,,True,B
213,SKU-000213,Accessories Item 213,Automotive,Accessories,Brand-077,117.01,177.65,34.13,Y,,,True,A
214,SKU-000214,Building Item 214,Toys & Games,Building,Brand-295,133.04,352.64,62.27,X,,,True,A
215,SKU-000215,Grooming Item 215,Pet Supplies,Grooming,Brand-347,162.65,311.88,47.85,Z,,,True,A
216,SKU-000216,Grooming Item 216,Health & Beauty,Grooming,Brand-041,17.2,29.6,41.9,Y,,,True,B
217,SKU-000217,Storage Item 217,Home & Kitchen,Storage,Brand-039,114.18,217.13,47.41,X,,,True,C
218,SKU-000218,Smart Home Item 218,Electronics,Smart Home,Brand-035,106.73,174.12,38.7,Y,,,False,C
219,SKU-000219,Board Games Item 219,Toys & Games,Board Games,Brand-316,202.89,319.72,36.54,Z,,,False,C
220,SKU-000220,Tools Item 220,Garden & DIY,Tools,Brand-125,109.33,167.31,34.65,Y,,,False,C
221,SKU-000221,Audio Item 221,Electronics,Audio,Brand-131,103.83,144.81,28.3,Y,,,True,C
222,SKU-000222,Board Games Item 222,Toys & Games,Board Games,Brand-005,211.74,384.02,44.86,Y,,,True,A
223,SKU-000223,Accessories Item 223,Pet Supplies,Accessories,Brand-389,99.95,253.11,60.51,Y,,,False,C
224,SKU-000224,Accessories Item 224,Apparel,Accessories,Brand-174,41.02,82.38,50.21,Y,,,True,A
225,SKU-000225,Accessories Item 225,Pet Supplies,Accessories,Brand-319,48.9,90.29,45.84,X,,,True,C
226,SKU-000226,Skincare Item 226,Health & Beauty,Skincare,Brand-283,22.3,38.54,42.14,Y,,,True,C
227,SKU-000227,Care Item 227,Automotive,Care,Brand-057,1.62,2.87,43.58,Y,,,True,C
228,SKU-000228,Beverages Item 228,Grocery,Beverages,Brand-320,95.88,143.9,33.37,X,,,True,B
229,SKU-000229,Pantry Item 229,Grocery,Pantry,Brand-220,169.58,402.97,57.92,Z,,,True,A
230,SKU-000230,Womenswear Item 230,Apparel,Womenswear,Brand-242,161.76,241.2,32.94,X,,,True,A
231,SKU-000231,Outdoor Play Item 231,Toys & Games,Outdoor Play,Brand-080,8.52,18.39,53.66,Y,,,True,C
232,SKU-000232,Tools Item 232,Garden & DIY,Tools,Brand-338,126.04,282.6,55.4,Y,,,False,C
233,SKU-000233,Decor Item 233,Home & Kitchen,Decor,Brand-372,35.21,67.7,47.99,Y,,,True,C
234,SKU-000234,Accessories Item 234,Automotive,Accessories,Brand-163,207.13,511.65,59.52,Y,,,True,A
235,SKU-000235,Board Games Item 235,Toys & Games,Board Games,Brand-037,38.07,60.09,36.64,Z,,,True,C
236,SKU-000236,Bedding Item 236,Pet Supplies,Bedding,Brand-339,138.42,348.36,60.26,Y,,,False,C
237,SKU-000237,Printing Item 237,Office & Stationery,Printing,Brand-355,72.78,158.83,54.18,Z,,,True,A
238,SKU-000238,Board Games Item 238,Toys & Games,Board Games,Brand-203,141.68,329.11,56.95,Z,,,True,B
239,SKU-000239,Wellness Item 239,Health & Beauty,Wellness,Brand-232,91.58,189.15,51.58,X,,,True,B
240,SKU-000240,Printing Item 240,Office & Stationery,Printing,Brand-089,167.48,407.04,58.85,X,,,False,C
241,SKU-000241,Cables Item 241,Electronics,Cables,Brand-027,51.9,147.13,64.72,Y,,,False,C
242,SKU-000242,Printing Item 242,Office & Stationery,Printing,Brand-377,199.42,342.68,41.81,X,,,True,A
243,SKU-000243,Smart Home Item 243,Electronics,Smart Home,Brand-193,110.8,261.05,57.56,Y,,,True,B
244,SKU-000244,Paper Item 244,Office & Stationery,Paper,Brand-110,166.71,368.69,54.78,Y,,,True,C
245,SKU-000245,Organisation Item 245,Office & Stationery,Organisation,Brand-277,187.17,329.03,43.11,Y,,,True,C
246,SKU-000246,Audio Item 246,Electronics,Audio,Brand-011,219.74,579.45,62.08,X,,,False,C
